#x	y	res(1.25Hz)	phi(1.25Hz)	res(2.5Hz)	phi(2.5Hz)	res(5Hz)	phi(5Hz)	res(10Hz)	phi(10Hz)
0.159	0.200	6.399	-246	5.579	-129.7	5.834	-202	13.88	-1173
0.247	0.200	6.601	-247.4	5.781	-150.3	6.098	-202.3	14.12	-1441
0.352	0.200	6.628	-231.9	5.783	-150.9	6.179	-190.3	13.11	-2064
0.437	0.200	6.396	-129.8	5.582	-70.54	5.676	-158.8	11.26	-1832
0.517	0.200	6.03	51.6	5.495	-4.158	4.841	-174.3	10.49	-422.2
0.597	0.200	5.504	179.5	5.463	-145.9	4.105	-242	7.525	-1218
0.677	0.200	5.003	181.7	5.304	-330.2	3.624	-235.1	2.752	-4906
0.757	0.200	4.528	80.39	4.413	-256.7	3.129	-264.5	1.35	-6442
0.837	0.200	3.87	-94.82	3.396	-200.8	2.321	-220.9	3.188	-3144
0.917	0.200	3.128	-171.9	2.766	-304.2	1.627	-57.31	6.058	-1077
0.997	0.200	2.441	-206.4	2.099	-257.3	1.581	-292	1.684	-3033
1.077	0.200	2.164	-267.6	1.544	102.5	2.108	-599.4	0.3222	-3687
1.157	0.200	2.57	-223.7	1.729	293.3	2.932	-693.4	0.2618	-1645
1.237	0.200	3.428	-125.8	2.637	232	4.379	-882.9	0.6826	-46.1
1.317	0.200	4.048	-11.38	3.893	65.11	5.931	-751	2.094	-468.4
1.397	0.200	3.947	114.2	4.441	-37.41	5.711	-354.1	4.642	-684.8
1.477	0.200	3.455	79.62	3.926	-26.46	3.236	-67.35	2.166	-369
1.557	0.200	3.783	-13.08	4.667	-144.8	2.675	-6.823	1.03	526.2
1.637	0.200	5.017	115.3	6.831	-122.2	4.301	-46.01	3.136	-234.7
1.717	0.200	5.445	204.5	6.239	84.52	4.65	-108.3	19.22	-946.8
1.797	0.200	4.105	100.9	4.471	132.3	3.508	-167.6	19.84	619.5
1.877	0.200	2.748	122.2	3.621	-106.5	2.834	-40.86	11.93	1224
1.957	0.200	3.42	183.4	4.457	-378	3.932	-22.83	41.02	2647
2.037	0.200	17.93	33.19	20.67	-269.4	21.28	-372.1	22.08	4534
2.117	0.200	13.73	154.1	14.66	-118.5	8.968	-63.82	7.447	3592
2.197	0.200	5.762	69.71	5.955	-141.6	6.425	-477.5	11.12	1645
2.277	0.200	5.607	-38.36	4.964	-54.72	6.173	-414.5	7.124	-760.8
2.373	0.200	6.844	-46.45	5.835	-6.565	5.695	-26.56	4.87	-1622
2.448	0.200	7.537	-23.11	6.663	-4.139	5.408	188.3	4.452	-1651
2.493	0.200	7.687	-14.67	6.916	-5.178	5.324	244.8	4.477	-1623
0.020	0.227	5.957	-249.6	5.125	-102.4	5.396	-197.8	12.82	-1334
0.069	0.227	6.042	-248.9	5.211	-107.3	5.483	-199	13.09	-1297
0.134	0.227	6.199	-248.5	5.372	-118.3	5.656	-201.2	13.58	-1283
0.217	0.227	6.377	-250	5.55	-135.3	5.893	-203.9	14.06	-1462
0.316	0.227	6.432	-245.4	5.591	-145.1	6.057	-202	13.69	-2040
0.410	0.227	6.228	-175.9	5.401	-93.51	5.754	-183.7	11.84	-2286
0.490	0.227	5.862	-20.06	5.239	-22.33	5.029	-189.7	10.32	-1424
0.570	0.227	5.324	131.1	5.138	-109.2	4.239	-249.8	7.636	-1707
0.650	0.227	4.754	178.5	5.03	-310.4	3.662	-258.5	3.323	-4626
0.730	0.227	4.219	110.8	4.366	-329.3	3.154	-265.9	1.484	-6758
0.810	0.227	3.569	-56.46	3.373	-273.7	2.375	-226.9	2.424	-4525
0.890	0.227	2.857	-161.8	2.636	-322.6	1.583	-29.18	5.142	-1887
0.970	0.227	2.195	-192.1	1.981	-299.9	1.331	-105.4	2.111	-2953
1.050	0.227	1.847	-241.9	1.409	10.16	1.604	-372.3	0.3922	-3840
1.130	0.227	2.074	-214.8	1.444	235.5	2.253	-519.8	0.2312	-2002
1.210	0.227	2.847	-116.9	2.207	189.7	3.515	-744.5	0.5675	45.36
1.290	0.227	3.685	-14.14	3.509	47.78	5.137	-741.7	1.854	-453.9
1.370	0.227	3.937	77.64	4.359	-58.07	5.658	-420.8	4.611	-1633
1.450	0.227	3.496	40.39	3.834	-27.42	3.539	-75.58	2.91	-1663
1.530	0.227	3.489	-55.57	3.921	-84.41	2.472	83.59	1.271	192
1.610	0.227	4.435	59.83	5.704	-117	3.716	34.59	2.566	834.9
1.690	0.227	5.191	200.6	6.217	21.08	4.977	-88.58	12.45	-401.8
1.770	0.227	4.343	123.6	4.714	144.1	3.921	-157	16.49	-143
1.850	0.227	2.912	69.12	3.473	39.04	2.617	16.78	8.282	-85.91
1.930	0.227	2.725	120.7	3.299	-235.6	2.551	165.1	23.16	750.5
2.010	0.227	11.13	-70.52	12.64	-275	19.04	-492	45.1	1709
2.090	0.227	20.59	98.92	20.3	-92.57	11.82	-62.92	5.121	3029
2.170	0.227	5.557	80.9	5.628	-146.7	5.588	-406.9	7.795	2446
2.250	0.227	4.94	-33.25	4.449	-83.66	5.645	-478.7	6.13	-75.62
2.340	0.227	6.116	-55.44	5.241	-24.73	5.454	-117.9	4.491	-1440
2.425	0.227	7.052	-29.01	6.261	-11.25	5.245	146.8	4.243	-1613
2.480	0.227	7.348	-16.28	6.676	-9.653	5.18	231.3	4.385	-1589
0.020	0.253	5.747	-253.3	4.91	-92.77	5.219	-196.2	12.41	-1527
0.069	0.253	5.806	-253.1	4.968	-96.3	5.287	-197.5	12.69	-1513
0.134	0.253	5.911	-253.3	5.074	-103.9	5.423	-200.4	13.22	-1537
0.217	0.253	6.016	-254.4	5.178	-114.9	5.608	-205.6	13.83	-1728
0.316	0.253	6.012	-248.5	5.174	-119.7	5.746	-212.6	13.84	-2234
0.410	0.253	5.785	-191.2	4.998	-88.52	5.556	-216.9	12.27	-2642
0.490	0.253	5.384	-68.81	4.805	-57.72	5.018	-239.6	9.972	-2580
0.570	0.253	4.828	62.05	4.647	-137.7	4.346	-289.7	6.732	-3253
0.650	0.253	4.212	118.3	4.449	-304.3	3.754	-304.9	3.383	-5332
0.730	0.253	3.588	69.09	3.878	-375	3.129	-279.9	1.968	-6622
0.810	0.253	2.915	-57.66	3.031	-367	2.283	-175.7	2.559	-5109
0.890	0.253	2.251	-144.2	2.271	-364.9	1.515	27.62	3.423	-3338
0.970	0.253	1.714	-169.6	1.635	-274.8	1.188	72.89	1.474	-3668
1.050	0.253	1.472	-182.6	1.229	-26.79	1.272	-49.64	0.4085	-3567
1.130	0.253	1.673	-135	1.329	108.9	1.727	-207	0.3243	-1461
1.210	0.253	2.371	-40.94	2.095	32.1	2.737	-433.9	0.8837	218.8
1.290	0.253	3.325	26.88	3.427	-84.05	4.126	-498.1	2.953	-1025
1.370	0.253	3.884	23.21	4.26	-122.8	4.671	-301.8	5.918	-3435
1.450	0.253	3.709	-74	3.798	-47.32	3.387	-8.312	4.177	-3724
1.530	0.253	3.655	-133	3.652	-26.35	2.677	164.6	2.706	-644.4
1.610	0.253	4.276	1.122	4.724	-64.33	3.854	87.3	4.867	1824
1.690	0.253	4.837	137.4	5.434	-26.42	5.44	-106.8	11.12	966.7
1.770	0.253	4.288	69.74	4.528	88.62	4.318	-139.3	8.616	-966.6
1.850	0.253	3.147	-31.41	3.243	104.1	2.441	132.4	4.645	-2706
1.930	0.253	2.815	-42.6	2.824	-50.01	2.202	305.1	11.48	-2962
2.010	0.253	6.655	-206.6	6.344	-91.12	12.28	-391.3	30.9	-5102
2.090	0.253	9.465	-8.952	8.07	-43.83	7.468	-122.6	3.037	-1950
2.170	0.253	3.985	22.15	3.703	-129.6	4.011	-368.9	3.221	1577
2.250	0.253	4.058	-54.84	3.609	-99.19	4.436	-429.5	3.333	24.14
2.340	0.253	5.268	-63.71	4.619	-49.5	4.74	-126.2	3.425	-1287
2.425	0.253	6.302	-33.44	5.742	-26.37	4.838	122	3.885	-1525
2.480	0.253	6.699	-18.89	6.238	-19.26	4.885	208	4.301	-1513
0.007	0.280	5.639	-255.1	4.799	-87.75	5.125	-195.1	12.18	-1625
0.050	0.280	5.674	-255.1	4.835	-89.82	5.17	-196.1	12.38	-1621
0.109	0.280	5.749	-255.4	4.908	-95.04	5.273	-198.7	12.86	-1645
0.186	0.280	5.828	-256.2	4.986	-102.9	5.426	-204	13.52	-1791
0.280	0.280	5.833	-252.6	4.994	-107.3	5.571	-213.4	13.91	-2186
0.383	0.280	5.655	-213.5	4.863	-90.37	5.511	-226.3	12.96	-2652
0.463	0.280	5.295	-119.3	4.674	-70.48	5.148	-252.8	10.76	-2904
0.543	0.280	4.778	-0.3447	4.5	-122.9	4.587	-298.3	7.498	-3525
0.623	0.280	4.171	76.13	4.303	-259.4	4.007	-325.1	4.184	-5056
0.703	0.280	3.533	62.33	3.854	-365.9	3.373	-303.2	2.497	-6287
0.783	0.280	2.863	-30.24	3.113	-394.7	2.534	-197.5	2.53	-5608
0.863	0.280	2.207	-116.1	2.336	-383.4	1.708	-1.523	2.959	-4174
0.943	0.280	1.669	-150.1	1.672	-297.1	1.242	129.1	1.664	-3884
1.023	0.280	1.386	-153.8	1.248	-99.57	1.161	110.2	0.5754	-3572
1.103	0.280	1.471	-111.5	1.251	33.52	1.432	-17.79	0.4013	-1706
1.183	0.280	2.008	-28.06	1.836	-16.17	2.176	-234	0.8921	163.9
1.263	0.280	2.945	34.48	3.059	-124.6	3.383	-371.8	2.991	-617.6
1.343	0.280	3.792	15.03	4.148	-158.6	4.249	-294.4	6.551	-3473
1.423	0.280	3.949	-94.51	4.016	-80.67	3.646	-59.89	5.932	-4871
1.503	0.280	3.837	-170.4	3.637	-8.989	2.914	143.9	4.201	-2239
1.583	0.280	4.161	-72.93	4.159	-32.02	3.615	119.6	5.923	1554
1.663	0.280	4.685	75	5.016	-63.53	5.368	-88.26	10.39	2002
1.743	0.280	4.529	57.05	4.764	9.737	5.082	-177.5	7.914	-580.6
1.823	0.280	3.616	-61.6	3.56	100.1	2.927	60.38	3.98	-3529
1.903	0.280	2.993	-112.7	2.787	51.83	2.094	321.8	6.318	-4634
1.983	0.280	4.118	-187.7	3.698	-8.677	5.15	-21.5	16.39	-6131
2.063	0.280	5.982	-112.5	4.829	6.587	6.749	-167.7	3.669	-6025
2.143	0.280	3.68	-4.459	3.248	-99.06	3.538	-268.8	1.974	417.5
2.223	0.280	3.532	-52.15	3.151	-112.3	3.766	-411.3	2.333	370.1
2.307	0.280	4.558	-70.77	4.038	-72.32	4.31	-205.8	2.863	-998.2
2.402	0.280	5.719	-43.21	5.235	-38.96	4.604	57.37	3.594	-1459
2.467	0.280	6.315	-23.16	5.933	-25.4	4.732	178.8	4.22	-1479
0.033	0.280	5.651	-255.1	4.811	-88.44	5.14	-195.5	12.25	-1624
0.088	0.280	5.707	-255.2	4.867	-92.03	5.214	-197.2	12.59	-1627
0.159	0.280	5.79	-255.8	4.948	-98.69	5.344	-201	13.18	-1698
0.247	0.280	5.844	-255.6	5.003	-105.9	5.504	-208.2	13.78	-1954
0.352	0.280	5.77	-240	4.945	-102.6	5.58	-219.9	13.65	-2440
0.437	0.280	5.493	-173.6	4.768	-79.31	5.366	-237.4	11.95	-2827
0.517	0.280	5.05	-60.31	4.58	-84.67	4.88	-273.1	9.16	-3153
0.597	0.280	4.477	47.33	4.408	-183.2	4.289	-316	5.735	-4178
0.677	0.280	3.848	81.68	4.118	-324.3	3.696	-320.9	3.16	-5777
0.757	0.280	3.195	23.12	3.508	-391.4	2.967	-260.2	2.336	-6212
0.837	0.280	2.524	-78.58	2.71	-391.5	2.094	-107.2	2.769	-4891
0.917	0.280	1.915	-140.1	1.977	-349.1	1.424	82.58	2.471	-3848
0.997	0.280	1.492	-154.5	1.422	-207.7	1.155	143	0.9905	-3812
1.077	0.280	1.379	-138.9	1.192	-15.86	1.249	56.87	0.4194	-2805
1.157	0.280	1.678	-72.08	1.458	27.58	1.737	-120.5	0.5299	-592.3
1.237	0.280	2.444	10.42	2.383	-72.36	2.741	-324.6	1.636	179.9
1.317	0.280	3.428	35.02	3.701	-153.2	3.934	-364.9	4.743	-1975
1.397	0.280	3.966	-35.27	4.226	-129.4	4.121	-189	6.797	-4603
1.477	0.280	3.878	-145.6	3.763	-31.96	3.197	62.8	4.864	-4045
1.557	0.280	3.928	-142	3.762	-6.58	3.044	168.4	4.569	-170.7
1.637	0.280	4.445	9.815	4.651	-57.73	4.489	24.65	8.009	2312
1.717	0.280	4.734	93.96	5.102	-41.89	5.66	-164.5	10.17	911.2
1.797	0.280	4.124	-1.536	4.182	67.77	3.955	-90.12	5.494	-2176
1.877	0.280	3.212	-102.3	3.049	97.54	2.261	223.9	4.17	-4330
1.957	0.280	3.194	-138	2.926	6.725	2.724	246.5	10.9	-5156
2.037	0.280	5.401	-216.6	4.589	3.828	8.945	-290	12.9	-7993
2.117	0.280	4.858	-19.95	4.092	-50.15	4.343	-132.7	2.027	-1628
2.197	0.280	3.377	-20.65	3.042	-119.1	3.487	-379.2	2.126	987.5
2.277	0.280	3.949	-69.11	3.504	-94.85	4.069	-346	2.596	-377.5
2.373	0.280	5.191	-59.52	4.659	-52.39	4.49	-61.1	3.212	-1361
2.448	0.280	6.109	-30.51	5.682	-29.89	4.684	138.3	3.941	-1491
2.493	0.280	6.421	-19.43	6.063	-23.16	4.756	199.1	4.368	-1472
0.020	0.307	5.531	-256.8	4.691	-82.93	5.033	-194	11.95	-1726
0.069	0.307	5.568	-256.9	4.726	-85.03	5.084	-195.3	12.21	-1729
0.134	0.307	5.628	-257.3	4.785	-89.45	5.185	-198.4	12.75	-1777
0.217	0.307	5.675	-257.4	4.831	-94.94	5.325	-205	13.47	-1962
0.316	0.307	5.631	-249.1	4.799	-94.71	5.442	-218.1	13.86	-2367
0.410	0.307	5.408	-200.4	4.655	-78.18	5.357	-239.3	12.82	-2784
0.490	0.307	5.023	-105.8	4.483	-76.12	5.029	-277.3	10.43	-3116
0.570	0.307	4.499	0.1382	4.325	-149.5	4.548	-326	7.024	-3895
0.650	0.307	3.898	56.36	4.1	-282.4	4.017	-344.7	4.017	-5262
0.730	0.307	3.261	29.56	3.605	-372.3	3.341	-298.6	2.694	-5977
0.810	0.307	2.599	-53.32	2.867	-391	2.452	-156.8	2.774	-5137
0.890	0.307	1.98	-116.4	2.119	-359.6	1.655	53.15	2.664	-4070
0.970	0.307	1.516	-133.3	1.522	-246.6	1.235	183.2	1.337	-3787
1.050	0.307	1.326	-118.4	1.218	-74.51	1.184	166.2	0.5905	-2871
1.130	0.307	1.505	-59.58	1.365	-12.8	1.492	24.29	0.6238	-679.6
1.210	0.307	2.146	17.37	2.127	-97.55	2.273	-192.4	1.698	577
1.290	0.307	3.18	43.11	3.454	-182.2	3.424	-305.8	5.195	-1268
1.370	0.307	4.055	-27.83	4.357	-164	4.078	-214.5	8.926	-4679
1.450	0.307	4.214	-155.4	4.065	-51.77	3.515	2.906	7.361	-5532
1.530	0.307	4.146	-190.4	3.766	10.7	3.151	140.5	6.3	-1856
1.610	0.307	4.444	-58.8	4.323	-48.08	4.261	26.09	9.459	2233
1.690	0.307	4.806	55.36	5.001	-101.3	5.93	-207.2	11.77	2012
1.770	0.307	4.538	-17.01	4.574	-23.67	4.883	-215.1	6.172	-1655
1.850	0.307	3.704	-143.2	3.438	71.29	2.745	90.81	3.454	-5085
1.930	0.307	3.19	-175.3	2.818	48.77	2.326	282.4	6.76	-6136
2.010	0.307	3.818	-207.5	3.232	38.63	4.992	-54.51	10.7	-7748
2.090	0.307	3.84	-74.21	3.115	7.738	3.859	-79.67	1.853	-4059
2.170	0.307	2.945	-29.49	2.613	-98.46	2.932	-310.2	1.389	522.4
2.250	0.307	3.388	-72.24	3.038	-107	3.514	-376.3	1.908	-163.5
2.340	0.307	4.572	-70.38	4.139	-69.47	4.131	-135.7	2.771	-1266
2.425	0.307	5.642	-37.96	5.294	-38.99	4.484	90.4	3.811	-1464
2.480	0.307	6.1	-22.12	5.832	-27.67	4.628	176	4.491	-1434
0.020	0.333	5.31	-260.1	4.47	-72.82	4.84	-191.4	11.42	-1930
0.069	0.333	5.327	-260.2	4.485	-73.51	4.874	-192.4	11.68	-1943
0.134	0.333	5.352	-260.1	4.507	-74.91	4.945	-195.3	12.22	-1996
0.217	0.333	5.357	-258.8	4.514	-75.97	5.049	-202.6	13.03	-2147
0.316	0.333	5.291	-248.6	4.469	-73.19	5.157	-219.7	13.79	-2447
0.410	0.333	5.082	-205.8	4.354	-64.39	5.16	-252	13.36	-2782
0.490	0.333	4.74	-129	4.224	-74.35	5.019	-302	11.41	-3125
0.570	0.333	4.276	-42.05	4.099	-141.5	4.742	-357.2	8.103	-3741
0.650	0.333	3.728	11.37	3.903	-252.9	4.342	-379.3	4.999	-4636
0.730	0.333	3.128	4.041	3.478	-337.5	3.709	-327	3.407	-5090
0.810	0.333	2.502	-46.47	2.819	-359.9	2.804	-172.7	3.04	-4618
0.890	0.333	1.921	-87.47	2.117	-324.6	1.932	50.62	2.633	-3888
0.970	0.333	1.494	-92.13	1.566	-229.8	1.4	222.2	1.617	-3286
1.050	0.333	1.317	-63.02	1.313	-118.6	1.243	253.6	1.028	-1954
1.130	0.333	1.476	-3.234	1.483	-99.8	1.439	134.4	1.298	140
1.210	0.333	2.078	51.79	2.225	-175.7	2.053	-69.77	3.256	949.3
1.290	0.333	3.165	40.94	3.51	-225.9	3.035	-200.4	8.64	-1378
1.370	0.333	4.331	-61.69	4.531	-171.8	3.826	-161.1	14.3	-5400
1.450	0.333	4.841	-192.7	4.474	-43.54	3.78	-10.64	13.73	-6844
1.530	0.333	4.776	-218.4	4.113	19.55	3.692	58.82	12.94	-3163
1.610	0.333	4.762	-103.5	4.314	-65.69	4.717	-109.2	16.03	1905
1.690	0.333	4.905	-20.86	4.782	-177.6	6.181	-363.8	14.46	2468
1.770	0.333	4.851	-108.7	4.655	-148.1	5.351	-369.4	6.454	-1841
1.850	0.333	4.324	-237.6	3.835	-30.83	3.365	-81.33	3.495	-6422
1.930	0.333	3.563	-250.6	3.018	35.92	2.684	133.7	5.248	-7882
2.010	0.333	3.016	-209	2.498	77.93	3.32	11.41	5.708	-7773
2.090	0.333	2.494	-98.55	2.047	47.38	2.515	-50.03	1.254	-3961
2.170	0.333	2.296	-63.3	2.043	-65.44	2.266	-276.4	0.7956	-292.8
2.250	0.333	2.89	-86.01	2.66	-104.1	2.88	-344.2	1.26	-556.8
2.340	0.333	4.025	-75.97	3.783	-81.37	3.641	-149.2	2.433	-1345
2.425	0.333	5.071	-42.29	4.916	-49.16	4.172	53.76	3.983	-1420
2.480	0.333	5.548	-25.83	5.457	-35.24	4.397	136.3	4.957	-1351
0.007	0.360	5.202	-261.7	4.362	-67.85	4.743	-190	11.14	-2030
0.050	0.360	5.208	-261.7	4.367	-67.86	4.763	-190.6	11.32	-2043
0.109	0.360	5.217	-261.6	4.374	-67.86	4.81	-192.6	11.77	-2086
0.186	0.360	5.211	-260.1	4.368	-67.09	4.889	-198.4	12.54	-2196
0.280	0.360	5.154	-251.8	4.327	-63.46	4.989	-213.4	13.48	-2410
0.383	0.360	4.987	-218.7	4.238	-56.77	5.049	-245.7	13.72	-2677
0.463	0.360	4.698	-155.5	4.131	-64.21	5.017	-297.6	12.47	-2969
0.543	0.360	4.294	-76.82	4.029	-115.8	4.873	-358.1	9.517	-3425
0.623	0.360	3.798	-15.89	3.881	-210.9	4.594	-395.3	6.176	-4076
0.703	0.360	3.237	-1.937	3.552	-299.5	4.077	-365.1	4.081	-4514
0.783	0.360	2.636	-31.64	2.98	-337.2	3.237	-232.9	3.295	-4340
0.863	0.360	2.057	-67.15	2.3	-315.7	2.299	-16.28	2.843	-3802
0.943	0.360	1.599	-76.01	1.721	-242	1.621	187.6	2.043	-3137
1.023	0.360	1.362	-50.04	1.412	-154.3	1.322	272.3	1.455	-1850
1.103	0.360	1.422	5.281	1.481	-131.2	1.381	195.8	1.675	129.2
1.183	0.360	1.876	57.94	2.051	-187.5	1.821	9.47	3.511	1233
1.263	0.360	2.836	52.58	3.175	-234.8	2.646	-147	8.74	-471.8
1.343	0.360	4.123	-41.18	4.361	-191.8	3.542	-160.5	15.87	-4498
1.423	0.360	5.019	-174.2	4.712	-70.08	3.893	-50.32	17.85	-7210
1.503	0.360	5.124	-227.7	4.401	15.38	3.919	20.06	17	-5062
1.583	0.360	4.925	-147.4	4.298	-42.76	4.611	-122.6	18.87	266.5
1.663	0.360	4.872	-59.77	4.567	-180.3	5.921	-392.2	17.41	2716
1.743	0.360	4.924	-116	4.682	-217	5.788	-471.7	8.666	-480.5
1.823	0.360	4.726	-247.9	4.227	-121.7	4.103	-250.5	4.167	-5700
1.903	0.360	4.036	-284.4	3.427	-11.99	3.103	-2.222	4.578	-8241
1.983	0.360	3.093	-227	2.578	69.14	3.018	13.82	5.167	-7937
2.063	0.360	2.285	-129	1.894	75.84	2.355	-39.55	1.616	-4801
2.143	0.360	2.06	-79.63	1.816	-22.41	2.032	-220.4	0.6834	-1199
2.223	0.360	2.507	-87.87	2.326	-93.77	2.461	-334	0.903	-617
2.307	0.360	3.492	-83.53	3.327	-93.11	3.231	-209.9	1.92	-1260
2.402	0.360	4.581	-52.03	4.488	-60.99	3.905	-8.401	3.675	-1408
2.467	0.360	5.209	-30.65	5.184	-41.34	4.247	100.6	5.056	-1322
0.033	0.360	5.204	-261.7	4.364	-67.86	4.75	-190.2	11.2	-2035
0.088	0.360	5.213	-261.7	4.371	-67.87	4.783	-191.4	11.51	-2060
0.159	0.360	5.217	-261.1	4.373	-67.62	4.846	-194.9	12.11	-2132
0.247	0.360	5.191	-257.3	4.353	-65.76	4.938	-204.5	13.01	-2290
0.352	0.360	5.087	-239.7	4.289	-60.53	5.03	-227.3	13.76	-2546
0.437	0.360	4.857	-191	4.184	-57.95	5.048	-269.4	13.3	-2824
0.517	0.360	4.508	-117.4	4.079	-83.56	4.962	-327.5	11.17	-3175
0.597	0.360	4.054	-42.62	3.964	-158.9	4.754	-381.1	7.816	-3731
0.677	0.360	3.521	-1.983	3.743	-259	4.368	-389.9	4.972	-4342
0.757	0.360	2.935	-11.72	3.291	-326.5	3.688	-311.7	3.553	-4517
0.837	0.360	2.336	-50.03	2.64	-333.4	2.758	-132.1	3.045	-4106
0.917	0.360	1.807	-75.47	1.987	-283.7	1.917	93.89	2.466	-3482
0.997	0.360	1.451	-66.91	1.53	-197	1.424	251	1.699	-2572
1.077	0.360	1.352	-25	1.396	-132.8	1.303	255.7	1.454	-884.3
1.157	0.360	1.592	34.03	1.693	-152.8	1.544	111.7	2.286	914.1
1.237	0.360	2.291	64.2	2.55	-217.7	2.187	-81.06	5.57	772.8
1.317	0.360	3.476	14.85	3.819	-225.1	3.123	-177.1	12.37	-2362
1.397	0.360	4.678	-109.3	4.674	-134.7	3.824	-118.4	17.66	-6292
1.477	0.360	5.165	-216.9	4.587	-13.31	3.914	-0.06351	17.41	-6801
1.557	0.360	5.025	-201.3	4.285	6.245	4.137	-19.65	17.58	-2467
1.637	0.360	4.871	-93.91	4.409	-113.2	5.257	-254.8	18.9	2166
1.717	0.360	4.907	-67.14	4.697	-221.1	6.166	-470.9	13.03	1700
1.797	0.360	4.882	-182.9	4.527	-179.7	4.997	-391.4	5.674	-3199
1.877	0.360	4.425	-283.8	3.828	-59.02	3.438	-107.7	3.897	-7451
1.957	0.360	3.527	-260.9	2.96	33.76	2.945	43.49	5.266	-8341
2.037	0.360	2.608	-180.5	2.163	84.5	2.769	-13.74	3.424	-6727
2.117	0.360	2.115	-94.68	1.796	33.3	2.125	-117.8	0.9087	-2783
2.197	0.360	2.214	-78.89	2.016	-68.95	2.174	-303.8	0.7009	-489.4
2.277	0.360	2.949	-89.44	2.779	-101.4	2.839	-301.4	1.305	-914.9
2.373	0.360	4.072	-69.15	3.935	-77.58	3.611	-105.5	2.773	-1415
2.448	0.360	4.977	-38.65	4.927	-48.49	4.124	61.55	4.502	-1369
2.493	0.360	5.329	-26.6	5.319	-37.72	4.31	120.2	5.359	-1298
0.020	0.387	5.095	-263.1	4.257	-63.05	4.648	-188.5	10.85	-2132
0.069	0.387	5.095	-263.1	4.255	-62.45	4.667	-189.1	11.08	-2152
0.134	0.387	5.088	-262.4	4.246	-61.06	4.706	-191.2	11.58	-2205
0.217	0.387	5.059	-259.1	4.218	-57.87	4.774	-197.8	12.43	-2313
0.316	0.387	4.975	-245.9	4.161	-51.38	4.866	-216.6	13.49	-2486
0.410	0.387	4.786	-205.1	4.072	-45.6	4.934	-257.7	13.77	-2668
0.490	0.387	4.494	-138.9	3.988	-61.32	4.942	-319.5	12.43	-2888
0.570	0.387	4.102	-63.73	3.914	-123.1	4.853	-385.1	9.225	-3253
0.650	0.387	3.631	-10.88	3.775	-218	4.616	-418.4	5.834	-3718
0.730	0.387	3.098	-3.788	3.433	-292.8	4.096	-371.9	3.89	-3934
0.810	0.387	2.528	-33.23	2.854	-311.6	3.219	-214.2	3.234	-3683
0.890	0.387	1.987	-61.65	2.2	-276.7	2.268	19.51	2.872	-3163
0.970	0.387	1.578	-60.77	1.686	-207.8	1.615	214.2	2.251	-2347
1.050	0.387	1.396	-24.44	1.467	-150.8	1.36	260.2	1.931	-799.9
1.130	0.387	1.52	34.59	1.643	-160.5	1.479	138.2	2.633	1080
1.210	0.387	2.065	73.67	2.326	-215.6	1.988	-60.15	5.532	1485
1.290	0.387	3.134	39.69	3.486	-228.2	2.84	-182.3	11.9	-1077
1.370	0.387	4.476	-75.28	4.547	-150.5	3.668	-146.2	18.63	-5384
1.450	0.387	5.288	-195.9	4.78	-27.87	3.978	-23.34	19.72	-7554
1.530	0.387	5.225	-212	4.469	17.97	4.137	-16.84	18.54	-4660
1.610	0.387	4.864	-119.2	4.334	-84.67	4.978	-254.2	19.43	688.9
1.690	0.387	4.711	-69.62	4.459	-225.6	5.97	-529.9	15.97	2335
1.770	0.387	4.779	-167.1	4.477	-239.2	5.316	-519	7.706	-1538
1.850	0.387	4.677	-286.8	4.133	-139.9	3.91	-255.1	4.405	-6521
1.930	0.387	3.969	-279.5	3.41	-31.04	3.299	-62.65	5.329	-8254
2.010	0.387	2.869	-194.3	2.449	60.66	2.995	-68.02	4.444	-6892
2.090	0.387	2.101	-105.2	1.813	58.98	2.161	-124.5	1.165	-3282
2.170	0.387	2.024	-79.64	1.861	-39.72	1.977	-289.5	0.6039	-719.4
2.250	0.387	2.596	-91.09	2.487	-98.3	2.5	-336.5	1.005	-859.2
2.340	0.387	3.625	-77.86	3.555	-88.95	3.295	-172.8	2.393	-1405
2.425	0.387	4.606	-45.4	4.616	-56.63	3.932	12.1	4.482	-1356
2.480	0.387	5.076	-29.14	5.131	-41.4	4.208	93	5.754	-1248
0.020	0.413	4.885	-265.8	4.052	-53.58	4.458	-185.3	10.25	-2332
0.069	0.413	4.87	-265.5	4.035	-51.83	4.461	-185.3	10.44	-2354
0.134	0.413	4.837	-263.9	4	-47.97	4.472	-186.1	10.88	-2397
0.217	0.413	4.781	-258.3	3.946	-41.06	4.506	-191.2	11.72	-2448
0.316	0.413	4.685	-241.6	3.877	-30.62	4.58	-210.2	13.02	-2483
0.410	0.413	4.515	-200.1	3.806	-22.82	4.689	-258.4	13.97	-2474
0.490	0.413	4.27	-137.4	3.76	-37.4	4.802	-332.1	13.32	-2474
0.570	0.413	3.954	-65.57	3.744	-94.88	4.86	-412	10.09	-2542
0.650	0.413	3.577	-9.983	3.688	-180.9	4.797	-463.7	6.164	-2657
0.730	0.413	3.141	5.675	3.446	-244.9	4.457	-433.9	3.896	-2668
0.810	0.413	2.655	-15.84	2.955	-254.8	3.659	-279.8	3.289	-2461
0.890	0.413	2.162	-41.86	2.357	-223.8	2.629	-35.03	3.391	-2021
