#x	y	res(1.25Hz)	phi(1.25Hz)	res(2.5Hz)	phi(2.5Hz)	res(5Hz)	phi(5Hz)	res(10Hz)	phi(10Hz)
0.837	0.040	10.68	-118.6	11.67	-94.16	8.125	-164.4	12.04	-168.5
0.917	0.040	10.82	9.087	7.809	-75.07	7.145	-214.7	3.887	-2658
0.997	0.040	9.953	-124	7.652	77.11	7.235	-204.9	6.716	-2231
1.077	0.040	10.7	-182.4	7.804	52.09	8.008	-442.9	2.047	-1875
1.157	0.040	15.71	-81.13	11.57	-45.89	13.5	-591.6	10.28	281.4
1.237	0.040	11.9	-114.6	13.65	-107.3	21.78	-1044	8.872	-2262
1.317	0.040	14.01	35.42	13.35	152.3	9.225	352.8	4.526	-3613
1.397	0.040	15.23	-330.2	11.23	-137.9	11.57	-345.3	6.899	-1224
1.477	0.040	12.91	56.26	12.57	-78.7	9.807	42.55	13.86	2340
1.557	0.040	10.54	2.045	10.83	-74.87	8.019	-76.87	3.006	-4471
1.637	0.040	12.15	47.73	10.92	5.762	7.575	-386.8	17.4	-92.63
1.717	0.040	12.33	-72	18.68	-82.02	9.718	118.2	14.68	-52.53
1.797	0.040	13.12	157.4	12.44	-62.13	13.92	-364.3	24.88	-995.4
1.877	0.040	10.66	-101.4	11.08	-210.7	8.704	16.35	23.98	312.3
1.957	0.040	12.59	-61.85	10.2	-9.355	8.47	-194.2	3.157	-210.9
2.037	0.040	9.007	206.6	12.24	-140.5	9.424	-108.3	10.98	-1457
2.117	0.040	10.08	-156.4	6.33	9.482	5.84	-340.8	15.75	684.2
2.197	0.040	7.036	39.12	8.584	-224.5	6.484	30.43	10.75	-1105
2.277	0.040	6.7	-48.07	5.515	44.38	5.185	-224.5	7.764	-1981
2.373	0.040	11.11	-38.34	9.072	41.59	7.597	146.6	11.16	-2211
2.448	0.040	10.05	-24.44	8.477	23.75	6.756	210	7.604	-1859
2.493	0.040	9.538	-19.53	8.15	17.87	6.371	233.4	6.478	-1805
0.020	0.067	6.547	-237.5	5.743	-128.6	5.88	-200.6	13.74	-786.8
0.069	0.067	6.736	-233.4	5.945	-137	6.033	-201	13.99	-620.6
0.134	0.067	7.15	-225.2	6.391	-155.2	6.368	-201.4	14.41	-293.8
0.217	0.067	7.849	-215.4	7.14	-187	6.936	-199.3	14.63	60.22
0.316	0.067	8.69	-214.3	7.988	-258	7.649	-176.8	12.6	-581.9
0.410	0.067	9.161	-135.7	8.311	-226.7	7.516	7.157	7.497	-1765
0.490	0.067	11.28	-104.4	11.2	-44.71	9.927	-110.1	9.699	2846
0.570	0.067	13.47	-296.6	8.962	97.35	11.88	-485.2	25.28	1630
0.650	0.067	12.09	-305.5	15.3	-387.9	19.69	-398.7	11.69	-2169
0.730	0.067	15.62	-226.9	9.761	227.5	9.527	102	16.49	1780
0.810	0.067	11.67	-4.776	16.22	-177.3	13.97	-501.3	8.009	-2471
0.890	0.067	10.81	52.84	8.505	-192.2	11.45	106.6	5.751	-758.9
0.970	0.067	10.99	-145.2	11.37	187.2	13.23	-261	7.223	-2153
1.050	0.067	10.42	93.78	11.55	-394.7	9.072	-198.6	14.73	1250
1.130	0.067	12.84	37.05	13.01	-271.8	6.778	633.8	32.81	65.47
1.210	0.067	12.19	40.03	15.02	-133.4	22.62	-453.3	10.5	-3085
1.290	0.067	11.99	-62.31	11.44	-562.4	5.501	559.8	11.66	-125.8
1.370	0.067	13.12	-361.3	10.56	-166.4	11.47	-421.6	16.25	1076
1.450	0.067	11.63	146.2	14.82	-59.13	9.934	60.65	6.836	-4502
1.530	0.067	12.12	-345.5	7.739	5.296	13.37	-359.9	10.37	-4693
1.610	0.067	11.92	-36.57	10.8	-69.98	12.04	43.14	37.74	2422
1.690	0.067	14.05	-12.41	17.43	-79.03	19.94	-122.5	6.833	-505.4
1.770	0.067	15.53	-47.09	11.97	-196.9	13.04	-398.4	7.828	-1293
1.850	0.067	13.03	-291.7	14.28	-156.2	13.7	152.5	5.077	441.5
1.930	0.067	11.79	137.2	9.363	148.1	7.743	-200.3	2.139	-4260
2.010	0.067	10.17	-380	11.18	-65.4	9.491	-36.66	22.45	751.5
2.090	0.067	12.56	-229.2	7.467	111	9.404	-584.3	6.056	-567.3
2.170	0.067	8.223	17.24	10.97	-368	7.413	158.1	14.48	-1266
2.250	0.067	6.382	-19.94	5.978	-50.64	5.591	-273.7	9.396	-2453
2.340	0.067	10.21	-46.96	8.201	58.29	7.276	67.59	10.79	-2403
2.425	0.067	10.02	-26.09	8.416	26.01	6.777	199.2	7.688	-1891
2.480	0.067	9.44	-19.06	8.082	17	6.31	235.2	6.32	-1799
0.020	0.093	6.451	-239.6	5.641	-124.4	5.803	-200.3	13.61	-877.5
0.069	0.093	6.618	-236.4	5.819	-132.4	5.943	-200.9	13.86	-742
0.134	0.093	6.973	-230.5	6.197	-150.2	6.242	-201.4	14.29	-501.7
0.217	0.093	7.517	-225.2	6.775	-182.4	6.717	-198.7	14.49	-354.9
0.316	0.093	8.035	-226.6	7.28	-240.9	7.209	-175.2	12.82	-1127
0.410	0.093	8.155	-134.8	7.278	-160.2	6.796	-26.25	9.415	-1373
0.490	0.093	9.304	14.66	9.269	89.74	7.981	-86.18	17.9	4816
0.570	0.093	9.819	-167.1	8.401	62.69	10.73	-613.8	51.78	5182
0.650	0.093	9.681	-393.6	10.87	-330.2	13.26	-344.2	28.33	180.6
0.730	0.093	11.51	-170.4	8.546	332.4	8.31	36.96	4.989	-1915
0.810	0.093	9.98	-2.087	9.428	255.7	12.07	-649.1	3.238	-2764
