24 # electrodes
# x y
0	0.17189
0.044488	0.16603
0.085945	0.14886
0.12154	0.12154
0.14886	0.085945
0.16603	0.044488
0.17189	1.05e-013
0.16603	-0.044488
0.14886	-0.085945
0.12154	-0.12154
0.085945	-0.14886
0.044488	-0.16603
2.11e-014	-0.17189
-0.044488	-0.16603
-0.085945	-0.14886
-0.12154	-0.12154
-0.14886	-0.085945
-0.16603	-0.044488
-0.17189	-3.16e-013
-0.16603	0.044488
-0.14886	0.085945
-0.12154	0.12154
-0.085945	0.14886
-0.044488	0.16603
286 # measurements
# a b m n r err ip
  8    9   18   19  0.070  0.044  -0.470
  8    9   19   20  0.058  0.047  -0.511
  8    9   20   21  0.038  0.057  -0.561
  8    9   21   22  0.054  0.049  -0.321
  8    9   22   23  0.078  0.043  -0.330
  8    9   23   24  0.065  0.045  -0.541
  9   10   11   12  6.701  0.030  -1.077
  9   10   12   13  1.200  0.031  -0.816
  9   10   13   14  0.325  0.033  -0.615
  9   10   14   15  0.129  0.038  -0.494
  9   10   15   16  0.052  0.049  -1.218
  9   10   16   17  0.064  0.046  0.373
  9   10   17   18  0.094  0.041  -0.597
  9   10   18   19  0.050  0.050  -0.081
  9   10   19   20  0.040  0.055  -0.098
  9   10   20   21  0.025  0.070  -0.406
  9   10   21   22  0.036  0.058  -0.183
  9   10   22   23  0.051  0.050  -0.298
  9   10   23   24  0.041  0.054  -0.184
 10   11   12   13  3.526  0.030  -1.116
 10   11   13   14  0.452  0.032  -0.969
 10   11   14   15  0.135  0.037  -0.679
 10   11   17   18  0.060  0.047  -1.695
 10   11   18   19  0.032  0.062  0.687
 10   11   19   20  0.025  0.070  0.872
 10   11   20   21  0.016  0.093  -0.510
 10   11   21   22  0.021  0.077  -0.400
 10   11   22   23  0.029  0.064  -1.109
 10   11   23   24  0.023  0.073  0.359
 11   12   13   14  2.792  0.030  -1.260
 11   12   14   15  0.381  0.033  -1.179
 11   12   15   16  0.092  0.041  -0.067
 11   12   16   17  0.081  0.042  -1.504
 11   12   17   18  0.085  0.042  0.103
 11   12   18   19  0.041  0.054  -1.075
 11   12   19   20  0.031  0.062  -1.246
 11   12   20   21  0.018  0.085  -0.468
 11   12   21   22  0.024  0.072  -0.150
 11   12   22   23  0.033  0.061  0.272
 11   12   23   24  0.025  0.070  -0.839
 12   13   14   15  3.899  0.030  -1.205
 12   13   15   16  0.497  0.032  -1.145
 12   13   16   17  0.282  0.034  -0.647
 12   13   17   18  0.195  0.035  -0.664
 12   13   18   19  0.083  0.042  -0.380
 12   13   19   20  0.056  0.048  -0.321
 12   13   20   21  0.029  0.065  -0.408
 12   13   21   22  0.036  0.058  -0.141
 12   13   22   23  0.047  0.051  -0.159
 12   13   23   24  0.035  0.059  -0.141
 13   14   15   16  5.503  0.030  -1.047
 13   14   16   17  1.890  0.031  -0.856
 13   14   17   18  0.607  0.032  -0.940
 13   14   18   19  0.199  0.035  -0.718
 13   14   19   20  0.108  0.039  -0.605
 13   14   20   21  0.046  0.052  -0.637
 13   14   21   22  0.047  0.051  -0.217
 13   14   22   23  0.054  0.049  -0.300
 13   14   23   24  0.037  0.057  -0.207
 14   15   16   17  18.953  0.030  -0.563
 14   15   17   18  3.210  0.030  -0.877
 14   15   18   19  0.787  0.031  -0.882
 14   15   19   20  0.332  0.033  -0.850
 14   15   20   21  0.085  0.042  -0.999
 14   15   21   22  0.070  0.044  -0.411
 14   15   22   23  0.069  0.044  -0.386
 14   15   23   24  0.044  0.053  -0.373
 15   16   17   18  9.443  0.030  -0.909
 15   16   18   19  1.614  0.031  -1.093
 15   16   19   20  0.573  0.032  -1.077
 15   16   20   21  0.122  0.038  -1.300
 15   16   21   22  0.074  0.044  -0.715
 15   16   22   23  0.060  0.047  -1.013
 15   16   23   24  0.034  0.059  -0.430
 16   17   18   19  8.201  0.030  -0.643
 16   17   19   20  2.487  0.030  -0.747
 16   17   20   21  0.407  0.032  -1.060
 16   17   21   22  0.196  0.035  -0.415
 16   17   22   23  0.141  0.037  -0.238
 16   17   23   24  0.074  0.044  -0.995
 17   18   19   20  17.020  0.030  -0.716
 17   18   20   21  1.701  0.031  -1.067
 17   18   21   22  0.584  0.032  -0.409
 17   18   22   23  0.360  0.033  -0.632
 17   18   23   24  0.173  0.036  -0.836
 18   19   20   21  2.254  0.030  -0.948
 18   19   21   22  0.504  0.032  -0.151
 18   19   22   23  0.254  0.034  -0.428
 18   19   23   24  0.112  0.039  -1.047
 19   20   21   22  1.069  0.031  0.307
 19   20   22   23  0.345  0.033  -0.239
 19   20   23   24  0.121  0.038  -1.081
 20   21   22   23  0.654  0.032  0.314
 20   21   23   24  0.151  0.037  -0.373
 21   22   23   24  0.364  0.033  -0.036
 22   23   24    1  0.541  0.032  0.104
 22   23    1    2  0.194  0.035  -0.094
 22   23    2    3  0.147  0.037  -0.657
 22   23    3    4  0.163  0.036  -1.193
 22   23    4    5  0.327  0.033  -0.746
 22   23    5    6  0.161  0.036  -0.499
 22   23    6    7  0.129  0.038  -0.399
 22   23    7    8  0.111  0.039  -0.225
 22   23    8    9  0.087  0.042  -0.118
 22   23    9   10  0.057  0.048  -0.081
 22   23   10   11  0.033  0.061  0.140
 22   23   11   12  0.036  0.057  0.086
 22   23   12   13  0.053  0.049  0.123
 22   23   13   14  0.059  0.047  0.100
 22   23   14   15  0.078  0.043  -0.088
 22   23   15   16  0.067  0.045  -0.544
 22   23   16   17  0.151  0.037  -0.341
 22   23   17   18  0.371  0.033  -0.698
 22   23   18   19  0.257  0.034  -0.729
 22   23   19   20  0.344  0.033  -0.997
 22   23   20   21  0.645  0.032  -0.559
 23   24    1    2  0.480  0.032  0.127
 23   24    2    3  0.233  0.034  -0.666
 23   24    3    4  0.213  0.035  -1.251
 23   24    4    5  0.357  0.033  -0.874
 23   24    5    6  0.151  0.037  -0.648
 23   24    6    7  0.109  0.039  -0.543
 23   24    7    8  0.090  0.041  -0.355
 23   24    8    9  0.068  0.045  -0.239
 23   24    9   10  0.044  0.053  -0.190
 23   24   10   11  0.024  0.071  0.051
 23   24   11   12  0.027  0.067  0.009
 23   24   12   13  0.037  0.057  0.062
 23   24   13   14  0.039  0.056  0.069
 23   24   14   15  0.047  0.051  -0.111
 23   24   15   16  0.036  0.058  -0.565
 23   24   16   17  0.076  0.043  -0.395
 23   24   17   18  0.171  0.036  -0.791
 23   24   18   19  0.108  0.039  -0.875
 23   24   19   20  0.117  0.039  -1.188
 23   24   20   21  0.144  0.037  -0.802
 24    1    2    3  0.496  0.032  -0.514
 24    1    3    4  0.308  0.033  -1.115
 24    1    4    5  0.433  0.032  -0.793
 24    1    5    6  0.159  0.036  -0.625
