Rothsch”nberg,991207,DiDi,2.5m
9
14
2.5
2.5
3
753
IP present
Total Chargeability
Promille
120,760
  10.0    7.5    7.5    7.5   12.5    7.5   15.0    7.5  225.17    5.37
  12.5    7.5   10.0    7.5   15.0    7.5   17.5    7.5  250.06    5.37
  15.0    7.5   12.5    7.5   17.5    7.5   20.0    7.5  216.60    4.37
   2.5    7.5    0.0    7.5    7.5    7.5   10.0    7.5  329.43    6.13
   5.0    7.5    2.5    7.5   10.0    7.5   12.5    7.5  326.64    6.58
   7.5    7.5    5.0    7.5   12.5    7.5   15.0    7.5  284.33    4.82
  10.0    7.5    7.5    7.5   15.0    7.5   17.5    7.5  262.59    5.97
  12.5    7.5   10.0    7.5   17.5    7.5   20.0    7.5  308.29    5.97
   2.5    7.5    0.0    7.5   10.0    7.5   12.5    7.5  367.32   -1.63
   5.0    7.5    2.5    7.5   12.5    7.5   15.0    7.5  298.02    7.13
   7.5    7.5    5.0    7.5   15.0    7.5   17.5    7.5  266.63    9.18
  10.0    7.5    7.5    7.5   17.5    7.5   20.0    7.5  285.36   11.50
   2.5    7.5    0.0    7.5   12.5    7.5   15.0    7.5  309.84    8.45
   5.0    7.5    2.5    7.5   15.0    7.5   17.5    7.5  255.77   14.71
   7.5    7.5    5.0    7.5   17.5    7.5   20.0    7.5  277.89   19.68
   2.5    7.5    0.0    7.5   15.0    7.5   17.5    7.5  256.85   20.24
   5.0    7.5    2.5    7.5   17.5    7.5   20.0    7.5  266.78   30.50
   2.5    7.5    0.0    7.5   17.5    7.5   20.0    7.5  284.63   39.68
   2.5   10.0    0.0   10.0    5.0   10.0    7.5   10.0  202.61    4.37
   5.0   10.0    2.5   10.0    7.5   10.0   10.0   10.0  184.22    4.66
   7.5   10.0    5.0   10.0   10.0   10.0   12.5   10.0  248.20    5.37
  10.0   10.0    7.5   10.0   12.5   10.0   15.0   10.0  247.96    4.37
  12.5   10.0   10.0   10.0   15.0   10.0   17.5   10.0  298.72    5.82
  15.0   10.0   12.5   10.0   17.5   10.0   20.0   10.0  281.56    5.37
   2.5   10.0    0.0   10.0    7.5   10.0   10.0   10.0  278.15    6.29
   5.0   10.0    2.5   10.0   10.0   10.0   12.5   10.0  338.08    6.13
   7.5   10.0    5.0   10.0   12.5   10.0   15.0   10.0  302.82    4.21
  10.0   10.0    7.5   10.0   15.0   10.0   17.5   10.0  296.48    6.97
  12.5   10.0   10.0   10.0   17.5   10.0   20.0   10.0  395.10    7.13
   2.5   10.0    0.0   10.0   10.0   10.0   12.5   10.0  407.29    2.05
   5.0   10.0    2.5   10.0   12.5   10.0   15.0   10.0  335.29    6.13
   7.5   10.0    5.0   10.0   15.0   10.0   17.5   10.0  296.96    7.13
  10.0   10.0    7.5   10.0   17.5   10.0   20.0   10.0  328.88    8.89
   2.5   10.0    0.0   10.0   12.5   10.0   15.0   10.0  361.34   11.87
   5.0   10.0    2.5   10.0   15.0   10.0   17.5   10.0  301.14    9.34
