16# Number of electrodes
# x z position for each electrode
0	-0.15	0
0.0574025	-0.138582	0
0.106066	-0.106066	0
0.138582	-0.0574025	0
0.15	-9.18485e-018	0
0.138582	0.0574025	0
0.106066	0.106066	0
0.0574025	0.138582	0
1.83697e-017	0.15	0
-0.0574025	0.138582	0
-0.106066	0.106066	0
-0.138582	0.0574025	0
-0.15	2.75546e-017	0
-0.138582	-0.0574025	0
-0.106066	-0.106066	0
-0.0574025	-0.138582	0
208# Number of data
# a b m n R
  1   2   3   4 7.3910289e+00	1.0000000e+00
  1   2   4   5 1.2368988e+00	1.0000000e+00
  1   2   5   6 5.8642190e-01	1.0000000e+00
  1   2   6   7 3.6130326e-01	1.0000000e+00
  1   2   7   8 3.8151007e-01	1.0000000e+00
  1   2   8   9 4.3199919e-01	1.0000000e+00
  1   2   9  10 2.9120637e-01	1.0000000e+00
  1   2  10  11 2.5081470e-01	1.0000000e+00
  1   2  11  12 1.9767627e-01	1.0000000e+00
  1   2  12  13 2.5322289e-01	1.0000000e+00
  1   2  13  14 3.6552053e-01	1.0000000e+00
  1   2  14  15 8.4343821e-01	1.0000000e+00
  1   2  15  16 3.6158727e+00	1.0000000e+00
  2   3   4   5 4.9871789e+00	1.0000000e+00
  2   3   5   6 1.6504902e+00	1.0000000e+00
  2   3   6   7 6.6710005e-01	1.0000000e+00
  2   3   7   8 6.2146446e-01	1.0000000e+00
  2   3   8   9 5.2412279e-01	1.0000000e+00
  2   3   9  10 2.7049791e-01	1.0000000e+00
  2   3  10  11 1.3761506e-01	1.0000000e+00
  2   3  11  12 1.2546550e-01	1.0000000e+00
  2   3  12  13 9.1435679e-02	1.0000000e+00
  2   3  13  14 1.5549428e-01	1.0000000e+00
  2   3  14  15 2.0034691e-01	1.0000000e+00
  2   3  15  16 6.9600823e-01	1.0000000e+00
  2   3  16   1 4.2179748e+00	1.0000000e+00
  3   4   5   6 8.4990245e+00	1.0000000e+00
  3   4   6   7 2.0463019e+00	1.0000000e+00
  3   4   7   8 1.1830876e+00	1.0000000e+00
  3   4   8   9 8.7516456e-01	1.0000000e+00
  3   4   9  10 2.8104717e-01	1.0000000e+00
  3   4  10  11 1.4505130e-01	1.0000000e+00
  3   4  11  12 7.4862322e-02	1.0000000e+00
  3   4  12  13 8.9676148e-02	1.0000000e+00
  3   4  13  14 8.1115057e-02	1.0000000e+00
  3   4  14  15 1.6550749e-01	1.0000000e+00
  3   4  15  16 3.1533686e-01	1.0000000e+00
  3   4  16   1 1.3851393e+00	1.0000000e+00
  3   4   1   2 7.2799001e+00	0.0000000e+00
  4   5   6   7 5.7552719e+00	1.0000000e+00
  4   5   7   8 2.1695609e+00	1.0000000e+00
  4   5   8   9 1.2587582e+00	1.0000000e+00
  4   5   9  10 4.3506923e-01	1.0000000e+00
  4   5  10  11 1.8529115e-01	1.0000000e+00
  4   5  11  12 1.3526578e-01	1.0000000e+00
  4   5  12  13 8.2442541e-02	1.0000000e+00
  4   5  13  14 1.0011516e-01	1.0000000e+00
  4   5  14  15 7.2618435e-02	1.0000000e+00
  4   5  15  16 2.0846127e-01	1.0000000e+00
  4   5  16   1 4.0247226e-01	1.0000000e+00
  4   5   1   2 1.2299029e+00	0.0000000e+00
  4   5   2   3 4.8812183e+00	0.0000000e+00
  5   6   7   8 6.3025634e+00	1.0000000e+00
  5   6   8   9 2.3085796e+00	1.0000000e+00
  5   6   9  10 5.9505350e-01	1.0000000e+00
  5   6  10  11 2.6423673e-01	1.0000000e+00
