47 # number of electrodes
# x y z
14.86	301.49	-1
  39	  40	   7	   8	73.5904	0.00108093	0.13877	0.00015
  39	  40	  23	  24	8.58899	0.00086474	0.13877	0.00012
  40	  41	   8	   9	-11.343	-0.000171462	0.29161	-5e-05
  40	  41	  24	  25	65.0578	0.00641267	0.29161	0.00187
  41	  42	   9	  10	47.0269	0.00071992	0.31948	0.00023
  41	  42	  25	  26	175.414	0.0169651	0.31948	0.00542
  42	  43	  10	  11	-54.4381	-0.000835254	0.29931	-0.00025
  42	  43	  26	  27	90.9395	0.00865324	0.29931	0.00259
  43	  44	  11	  12	79.9229	0.00122105	0.27845	0.00034
  43	  44	  27	  28	68.1028	0.00639253	0.27845	0.00178
  44	  45	  12	  13	178.88	0.00271068	0.20659	0.00056
  44	  45	  28	  29	123.084	0.0114236	0.20659	0.00236
  45	  46	  13	  14	83.5224	0.00125272	0.15167	0.00019
  45	  46	  29	  30	124.05	0.0114063	0.15167	0.00173
  46	  47	  14	  15	61.6845	0.000914843	0.13117	0.00012
  46	  47	  30	  31	0	0	0.13117	0
   1	   2	  16	  18	-1.66157e+06	-473.35	0.21126	-100
   1	   2	  32	  34	-5661.93	-0.0547666	0.21126	-0.01157
   2	   4	  18	  20	0.196674	0.000103824	0.28895	3e-05
   2	   4	  34	  36	33.456	0.00100363	0.28895	0.00029
   3	   5	  19	  21	1.58511	0.000879937	0.20456	0.00018
   3	   5	  35	  37	-27.1585	-0.00107548	0.20456	-0.00022
   4	   6	  20	  22	0	0	0.22292	0
   4	   6	  36	  38	131.566	0.00623542	0.22292	0.00139
   5	   7	  21	  23	0.206988	0.00011253	0.17773	2e-05
   5	   7	  37	  39	-4.23561	-0.00022506	0.17773	-4e-05
   6	   8	  22	  24	-0.718981	-0.000381479	0.20971	-8e-05
   6	   8	  38	  40	-51.0329	-0.00290878	0.20971	-0.00061
   7	   9	  23	  25	1.07268	0.000556143	0.17981	0.0001
   7	   9	  39	  41	94.6538	0.00561704	0.17981	0.00101
   8	  10	  24	  26	-0.621403	-0.000315794	0.25333	-8e-05
   8	  10	  40	  42	3.259	0.000197371	0.25333	5e-05
   9	  11	  25	  27	2.00801	0.00100364	0.18931	0.00019
   9	  11	  41	  43	-13.8555	-0.000845175	0.18931	-0.00016
  10	  12	  26	  28	2.93134	0.00144543	0.25598	0.00037
  10	  12	  42	  44	13.4653	0.000820377	0.25598	0.00021
  11	  13	  27	  29	17.1169	0.00834813	0.2252	0.00188
  11	  13	  43	  45	46.9448	0.00284192	0.2252	0.00064
  12	  14	  28	  30	5.10453	0.00246754	0.24721	0.00061
  12	  14	  44	  46	61.3785	0.00368108	0.24721	0.00091
  13	  15	  29	  31	12.3409	0.00592277	0.21105	0.00125
  13	  15	  45	  47	11.1817	0.00066335	0.21105	0.00014
  16	  18	   1	   2	-28.1067	-0.00800707	0.38466	-0.00308
  16	  18	  32	  34	-1203.19	-0.220662	0.38466	-0.08488
  17	  19	  33	  35	3.476	0.00104475	0.05743	6e-05
  18	  20	   2	   4	5.87391	0.00310084	0.24187	0.00075
  18	  20	  34	  36	-0.777059	-0.000289412	0.24187	-7e-05
  19	  21	   3	   5	0.917371	0.000509258	0.27491	0.00014
  19	  21	  35	  37	2.25214	0.000909389	0.27491	0.00025
  20	  22	   4	   6	4.76025	0.00263979	0.25002	0.00066
  20	  22	  36	  38	19.3646	0.00795936	0.25002	0.00199
  21	  23	   5	   7	-1.14792	-0.00062407	0.20831	-0.00013
  21	  23	  37	  39	31.8437	0.0129615	0.20831	0.0027
  22	  24	   6	   8	0.01357	7.2e-06	-100	-0.00072
  22	  24	  38	  40	0.0125308	5e-06	-100	-0.0005
  23	  25	   7	   9	-0.148345	-7.69112e-05	0.26004	-2e-05
