32# Number of electrodes
# x z #position for each electrode
1	-5
3	-5
5	-5
7	-5
9	-5
11	-5
13	-5
15	-5
17	-5
19	-5
21	-5
23	-5
25	-5
27	-5
29	-5
31	-5
33	-5
35	-5
37	-5
39	-5
41	-5
43	-5
45	-5
47	-5
49	-5
51	-5
53	-5
55	-5
57	-5
59	-5
61	-5
63	-5
202# Number of data
#a b m n R err
  23	  25	  30	  32	-0.0179779	0.0256553
   1	   3	   9	  11	-0.0121873	0.0279359
   3	   5	  11	  13	-0.0121907	0.0280944
   5	   7	  13	  15	-0.0136734	0.0272606
   7	   9	  15	  17	-0.0135107	0.0271598
   9	  11	  17	  19	-0.0127212	0.0275756
  11	  13	  19	  21	-0.0143234	0.0271598
  13	  15	  21	  23	-0.0137737	0.0272606
  15	  17	  23	  25	-0.0121287	0.0280944
  17	  19	  25	  27	-0.0128839	0.0279359
  19	  21	  27	  29	-0.0127787	0.0278753
  21	  23	  29	  31	-0.0123771	0.0278589
   1	   3	  10	  12	-0.00975382	0.0306737
   3	   5	  12	  14	-0.00964403	0.0304637
   5	   7	  14	  16	-0.0113333	0.0292026
   7	   9	  16	  18	-0.010334	0.0300088
   9	  11	  18	  20	-0.00964412	0.0301537
  11	  13	  20	  22	-0.0100634	0.0295561
  13	  15	  22	  24	-0.01036	0.0296337
  15	  17	  24	  26	-0.00918907	0.0307706
  17	  19	  26	  28	-0.00922062	0.0305641
  19	  21	  28	  30	-0.00968625	0.0304779
  21	  23	  30	  32	-0.010001	0.0304495
   1	   3	  11	  13	-0.00705357	0.0339152
   3	   5	  13	  15	-0.00784395	0.0323955
   5	   7	  15	  17	-0.0080142	0.0323804
   7	   9	  17	  19	-0.00776527	0.0331582
   9	  11	  19	  21	-0.00738292	0.0331582
  11	  13	  21	  23	-0.007763	0.0323804
  13	  15	  23	  25	-0.00803026	0.0324031
  15	  17	  25	  27	-0.00717391	0.0339057
  17	  19	  27	  29	-0.00744386	0.0336534
  19	  21	  29	  31	-0.00723877	0.0335351
   1	   3	  12	  14	-0.0058597	0.036966
   3	   5	  14	  16	-0.00655418	0.0350245
   5	   7	  16	  18	-0.00607606	0.0364118
   7	   9	  18	  20	-0.00631687	0.036727
   9	  11	  20	  22	-0.00586973	0.036663
  11	  13	  22	  24	-0.00607186	0.0356734
  13	  15	  24	  26	-0.00650685	0.0356266
  15	  17	  26	  28	-0.00550284	0.0375589
  17	  19	  28	  30	-0.00580488	0.0372459
  19	  21	  30	  32	-0.00571162	0.0370992
   1	   4	  14	  17	-0.0100203	0.0301424
   4	   7	  17	  20	-0.00921593	0.0310381
   7	  10	  20	  23	-0.00897568	0.0310725
  10	  13	  23	  26	-0.00888794	0.0305462
  13	  16	  26	  29	-0.00934391	0.0307441
  16	  19	  29	  32	-0.0091817	0.0314363
   1	   4	  15	  18	-0.00808652	0.0327793
   4	   7	  18	  21	-0.00706303	0.0334084
   7	  10	  21	  24	-0.007437	0.0334084
  10	  13	  24	  27	-0.00764608	0.0327868
  13	  16	  27	  30	-0.00745076	0.0329694
