127 # number of electrodes
# x y z
   1	   0	  69	  70	4.00639	-0.00518383	0.12539	-0.00065
   1	   0	  85	  86	8.17552	-0.0224101	0.12539	-0.00281
   1	   0	 101	 102	20.3778	-0.0354893	0.12539	-0.00445
   1	   0	 117	 118	334664	-797.512	0.12539	-100
   1	   0	   6	   7	-2.71354	-0.00814046	0.1253	-0.00102
   1	   0	  22	  23	1.23499	0.000957702	0.1253	0.00012
   1	   0	  38	  39	-11.1085	-0.00167598	0.1253	-0.00021
   1	   0	  54	  55	34.3996	-0.0235435	0.1253	-0.00295
   1	   0	  70	  71	4.15772	-0.00702314	0.1253	-0.00088
   1	   0	  86	  87	10.6163	-0.049162	0.1253	-0.00616
   1	   0	 102	 103	-454439	798.085	0.1253	100
   1	   0	 118	 119	-109.559	0.37494	0.1253	0.04698
   1	   0	   7	   8	-10.0754	-0.0232261	0.12529	-0.00291
   1	   0	  23	  24	-34.5438	-0.0257004	0.12529	-0.00322
   1	   0	  39	  40	24.2525	0.00391093	0.12529	0.00049
   1	   0	  55	  56	-966234	798.148	0.12529	100
   1	   0	  71	  72	11.5469	-0.0261793	0.12529	-0.00328
   1	   0	  87	  88	17.0001	-0.143268	0.12529	-0.01795
   1	   0	 103	 104	35.1229	-0.0558704	0.12529	-0.007
   1	   0	 119	 120	-85.5568	0.557267	0.12529	0.06982
   1	   0	   8	   9	22.378	0.0409221	0.12536	0.00513
   1	   0	  24	  25	4.88152	0.00343012	0.12536	0.00043
   1	   0	  40	  41	12.2603	0.00207403	0.12536	0.00026
   1	   0	  56	  57	34.8332	-0.0293555	0.12536	-0.00368
   1	   0	  72	  73	30.047	-0.0887045	0.12536	-0.01112
   1	   0	  88	  89	20.945	-0.387604	0.12536	-0.04859
   1	   0	 104	 105	206.524	0.00350989	0.12536	0.00044
   1	   0	 120	 121	-18.4625	0.285099	0.12536	0.03574
   1	   0	   9	  10	-11.6545	-0.0173309	0.12521	-0.00217
   1	   0	  25	  26	5.59481	0.00367383	0.12521	0.00046
   1	   0	  41	  42	-3.65568	-0.000638927	0.12521	-8e-05
   1	   0	  57	  58	39.2532	-0.030349	0.12521	-0.0038
   1	   0	  73	  74	53.2989	-0.188643	0.12521	-0.02362
   1	   0	  89	  90	17.8629	-0.925964	0.12521	-0.11594
   1	   0	 105	 106	-88.0076	-0.0813034	0.12521	-0.01018
   1	   0	 121	 122	8.71382	-0.635413	0.12521	-0.07956
   1	   0	  10	  11	23.8129	0.0293742	0.12528	0.00368
   1	   0	  26	  27	15.456	0.0094189	0.12528	0.00118
   1	   0	  42	  43	15.2196	0.00271392	0.12528	0.00034
