52# Number of electrodes
# x d #position for each electrode
0	0
0	0.4
0	0.8
0	1.2
0	1.6
0	2
0	2.4
0	2.8
0	3.2
0	3.6
0	4
0	4.4
0	4.8
0	5.2
0	5.6
0	6
0	6.4
0	6.8
0	7.2
0	7.6
0	8
0	8.4
0	8.8
0	9.2
0	9.6
0	10
10	0
10	0.4
10	0.8
10	1.2
10	1.6
10	2
10	2.4
10	2.8
10	3.2
10	3.6
10	4
10	4.4
10	4.8
10	5.2
10	5.6
10	6
10	6.4
10	6.8
10	7.2
10	7.6
10	8
10	8.4
10	8.8
10	9.2
10	9.6
10	10
625# Number of data
# a b m n rhoa err
  6   7  47  48  129.68  0.03
  6   7  48  49  122.64  0.03
  6   7  49  50  135.11  0.03
  6   7  50  51  123.37  0.03
  6   7  51  52  139.10  0.03
  7   8  27  28  157.63  0.03
  7   8  28  29  156.14  0.03
  7   8  29  30  164.60  0.03
  7   8  30  31  170.77  0.03
  7   8  31  32  178.24  0.03
  7   8  32  33  165.02  0.03
  7   8  33  34  158.03  0.03
  7   8  34  35  150.31  0.03
  7   8  35  36  149.27  0.03
  7   8  36  37  158.22  0.03
  7   8  37  38  154.64  0.03
  7   8  38  39  152.82  0.03
  7   8  39  40  141.06  0.03
  7   8  40  41  119.29  0.03
  7   8  41  42  116.63  0.03
  7   8  42  43  129.64  0.03
  7   8  43  44  130.99  0.03
  7   8  44  45  126.70  0.03
  7   8  45  46  127.34  0.03
  7   8  46  47  125.05  0.03
  7   8  47  48  125.16  0.03
  7   8  48  49  118.55  0.03
  7   8  49  50  130.52  0.03
  7   8  50  51  119.55  0.03
  7   8  51  52  134.54  0.03
  8   9  27  28  148.82  0.03
  8   9  28  29  147.31  0.03
  8   9  29  30  155.31  0.03
  8   9  30  31  161.05  0.03
  8   9  31  32  168.07  0.03
  8   9  32  33  155.43  0.03
  8   9  33  34  148.79  0.03
  8   9  34  35  141.42  0.03
  8   9  35  36  140.32  0.03
  8   9  36  37  148.59  0.03
  8   9  37  38  145.04  0.03
  8   9  38  39  143.15  0.03
  8   9  39  40  131.97  0.03
  8   9  40  41  111.52  0.03
  8   9  41  42  109.04  0.03
  8   9  42  43  121.18  0.03
  8   9  43  44  122.36  0.03
  8   9  44  45  118.23  0.03
  8   9  45  46  118.66  0.03
  8   9  46  47  116.32  0.03
  8   9  47  48  116.13  0.03
  8   9  48  49  109.78  0.03
  8   9  49  50  120.24  0.03
  8   9  50  51  109.89  0.03
  8   9  51  52  122.55  0.03
  9  10  27  28  154.74  0.03
  9  10  28  29  153.07  0.03
  9  10  29  30  161.39  0.03
  9  10  30  31  167.28  0.03
  9  10  31  32  174.55  0.03
  9  10  32  33  161.26  0.03
  9  10  33  34  154.35  0.03
  9  10  34  35  146.65  0.03
  9  10  35  36  145.52  0.03
  9  10  36  37  154.13  0.03
  9  10  37  38  150.45  0.03
  9  10  38  39  148.53  0.03
  9  10  39  40  136.99  0.03
  9  10  40  41  115.94  0.03
  9  10  41  42  113.70  0.03
  9  10  42  43  126.77  0.03
  9  10  43  44  128.36  0.03
  9  10  44  45  124.40  0.03
  9  10  45  46  125.25  0.03
  9  10  46  47  123.26  0.03
  9  10  47  48  123.59  0.03
  9  10  48  49  117.59  0.03
  9  10  49  50  129.41  0.03
  9  10  50  51  119.49  0.03
  9  10  51  52  134.06  0.03
 10  11  27  28  141.72  0.03
 10  11  28  29  140.10  0.03
 10  11  29  30  147.74  0.03
 10  11  30  31  153.07  0.03
 10  11  31  32  159.72  0.03
 10  11  32  33  147.43  0.03
 10  11  33  34  141.11  0.03
 10  11  34  35  134.02  0.03
 10  11  35  36  132.96  0.03
 10  11  36  37  140.83  0.03
 10  11  37  38  137.39  0.03
 10  11  38  39  135.64  0.03
 10  11  39  40  125.14  0.03
 10  11  40  41  106.03  0.03
 10  11  41  42  104.24  0.03
 10  11  42  43  116.51  0.03
 10  11  43  44  118.16  0.03
 10  11  44  45  114.69  0.03
 10  11  45  46  115.62  0.03
 10  11  46  47  113.94  0.03
 10  11  47  48  114.37  0.03
 10  11  48  49  109.06  0.03
 10  11  49  50  119.93  0.03
 10  11  50  51  111.14  0.03
 10  11  51  52  124.30  0.03
 11  12  27  28  109.11  0.03
 11  12  28  29  107.80  0.03
 11  12  29  30  113.73  0.03
 11  12  30  31  117.84  0.03
 11  12  31  32  123.05  0.03
 11  12  32  33  113.55  0.03
 11  12  33  34  108.76  0.03
 11  12  34  35  103.34  0.03
 11  12  35  36  102.58  0.03
 11  12  36  37  108.77  0.03
 11  12  37  38  106.08  0.03
 11  12  38  39  104.67  0.03
 11  12  39  40  96.50  0.03
 11  12  40  41  81.76  0.03
 11  12  41  42  80.45  0.03
 11  12  42  43  89.94  0.03
 11  12  43  44  91.14  0.03
 11  12  44  45  88.29  0.03
 11  12  45  46  88.75  0.03
 11  12  46  47  87.14  0.03
 11  12  47  48  87.01  0.03
 11  12  48  49  82.55  0.03
 11  12  49  50  89.87  0.03
 11  12  50  51  82.75  0.03
 11  12  51  52  91.12  0.03
 12  13  27  28  115.01  0.03
 12  13  28  29  113.57  0.03
 12  13  29  30  119.92  0.03
 12  13  30  31  124.31  0.03
 12  13  31  32  129.96  0.03
 12  13  32  33  119.97  0.03
 12  13  33  34  115.11  0.03
 12  13  34  35  109.55  0.03
 12  13  35  36  108.95  0.03
 12  13  36  37  115.85  0.03
 12  13  37  38  113.22  0.03
 12  13  38  39  112.07  0.03
 12  13  39  40  103.69  0.03
 12  13  40  41  88.28  0.03
 12  13  41  42  87.47  0.03
 12  13  42  43  98.44  0.03
 12  13  43  44  100.29  0.03
 12  13  44  45  97.69  0.03
 12  13  45  46  98.75  0.03
 12  13  46  47  97.55  0.03
 12  13  47  48  98.04  0.03
 12  13  48  49  93.84  0.03
 12  13  49  50  102.82  0.03
 12  13  50  51  95.87  0.03
 12  13  51  52  106.36  0.03
 13  14  27  28  119.76  0.03
 13  14  28  29  118.18  0.03
 13  14  29  30  124.88  0.03
 13  14  30  31  129.48  0.03
 13  14  31  32  135.51  0.03
 13  14  32  33  125.07  0.03
 13  14  33  34  120.15  0.03
 13  14  34  35  114.43  0.03
 13  14  35  36  113.92  0.03
 13  14  36  37  121.35  0.03
 13  14  37  38  118.66  0.03
 13  14  38  39  117.59  0.03
 13  14  39  40  108.91  0.03
 13  14  40  41  92.92  0.03
 13  14  41  42  92.40  0.03
 13  14  42  43  104.31  0.03
 13  14  43  44  106.46  0.03
 13  14  44  45  103.83  0.03
 13  14  45  46  105.07  0.03
 13  14  46  47  103.90  0.03
 13  14  47  48  104.49  0.03
 13  14  48  49  100.21  0.03
 13  14  49  50  109.71  0.03
 13  14  50  51  102.64  0.03
 13  14  51  52  113.62  0.03
 14  15  27  28  119.71  0.03
 14  15  28  29  118.04  0.03
 14  15  29  30  124.82  0.03
 14  15  30  31  129.43  0.03
 14  15  31  32  135.60  0.03
 14  15  32  33  125.09  0.03
 14  15  33  34  120.28  0.03
 14  15  34  35  114.60  0.03
 14  15  35  36  114.15  0.03
 14  15  36  37  121.77  0.03
 14  15  37  38  119.07  0.03
 14  15  38  39  118.07  0.03
 14  15  39  40  109.40  0.03
 14  15  40  41  93.43  0.03
 14  15  41  42  93.15  0.03
 14  15  42  43  105.37  0.03
 14  15  43  44  107.59  0.03
 14  15  44  45  104.94  0.03
 14  15  45  46  106.16  0.03
 14  15  46  47  104.95  0.03
 14  15  47  48  105.47  0.03
 14  15  48  49  101.18  0.03
 14  15  49  50  110.51  0.03
 14  15  50  51  103.53  0.03
 14  15  51  52  114.19  0.03
 15  16  27  28  121.29  0.03
 15  16  28  29  119.48  0.03
 15  16  29  30  126.44  0.03
 15  16  30  31  131.12  0.03
 15  16  31  32  137.53  0.03
 15  16  32  33  126.78  0.03
 15  16  33  34  122.02  0.03
 15  16  34  35  116.28  0.03
 15  16  35  36  115.87  0.03
 15  16  36  37  123.78  0.03
 15  16  37  38  121.01  0.03
 15  16  38  39  120.08  0.03
 15  16  39  40  111.32  0.03
 15  16  40  41  95.14  0.03
 15  16  41  42  95.13  0.03
 15  16  42  43  107.85  0.03
 15  16  43  44  110.20  0.03
 15  16  44  45  107.53  0.03
 15  16  45  46  108.80  0.03
 15  16  46  47  107.57  0.03
 15  16  47  48  108.10  0.03
 15  16  48  49  103.81  0.03
 15  16  49  50  113.21  0.03
 15  16  50  51  106.27  0.03
 15  16  51  52  116.86  0.03
 16  17  27  28  111.89  0.03
 16  17  28  29  110.10  0.03
 16  17  29  30  116.64  0.03
 16  17  30  31  120.99  0.03
 16  17  31  32  127.11  0.03
 16  17  32  33  117.09  0.03
 16  17  33  34  112.82  0.03
 16  17  34  35  107.55  0.03
 16  17  35  36  107.23  0.03
 16  17  36  37  114.75  0.03
 16  17  37  38  112.19  0.03
 16  17  38  39  111.41  0.03
 16  17  39  40  103.35  0.03
 16  17  40  41  88.38  0.03
 16  17  41  42  88.61  0.03
 16  17  42  43  100.65  0.03
 16  17  43  44  102.81  0.03
 16  17  44  45  100.25  0.03
 16  17  45  46  101.33  0.03
 16  17  46  47  100.09  0.03
 16  17  47  48  100.44  0.03
 16  17  48  49  96.44  0.03
 16  17  49  50  104.89  0.03
 16  17  50  51  98.56  0.03
 16  17  51  52  108.04  0.03
 17  18  27  28  121.01  0.03
 17  18  28  29  118.90  0.03
 17  18  29  30  126.13  0.03
 17  18  30  31  130.86  0.03
 17  18  31  32  137.72  0.03
 17  18  32  33  126.74  0.03
 17  18  33  34  122.26  0.03
 17  18  34  35  116.57  0.03
 17  18  35  36  116.29  0.03
 17  18  36  37  124.71  0.03
 17  18  37  38  121.91  0.03
 17  18  38  39  121.19  0.03
 17  18  39  40  112.51  0.03
 17  18  40  41  96.27  0.03
 17  18  41  42  96.81  0.03
 17  18  42  43  110.27  0.03
 17  18  43  44  112.69  0.03
 17  18  44  45  109.95  0.03
 17  18  45  46  111.18  0.03
 17  18  46  47  109.87  0.03
 17  18  47  48  110.29  0.03
 17  18  48  49  106.05  0.03
 17  18  49  50  115.19  0.03
 17  18  50  51  108.50  0.03
 17  18  51  52  118.63  0.03
 18  19  27  28  128.14  0.03
 18  19  28  29  125.69  0.03
 18  19  29  30  133.51  0.03
 18  19  30  31  138.53  0.03
 18  19  31  32  146.05  0.03
 18  19  32  33  134.20  0.03
 18  19  33  34  129.58  0.03
 18  19  34  35  123.50  0.03
 18  19  35  36  123.20  0.03
 18  19  36  37  132.32  0.03
 18  19  37  38  129.25  0.03
 18  19  38  39  128.52  0.03
 18  19  39  40  119.30  0.03
 18  19  40  41  102.04  0.03
 18  19  41  42  102.78  0.03
 18  19  42  43  117.23  0.03
 18  19  43  44  119.69  0.03
 18  19  44  45  116.62  0.03
 18  19  45  46  117.79  0.03
 18  19  46  47  116.27  0.03
 18  19  47  48  116.55  0.03
 18  19  48  49  112.05  0.03
 18  19  49  50  121.37  0.03
 18  19  50  51  114.40  0.03
 18  19  51  52  124.61  0.03
 19  20  27  28  126.40  0.03
 19  20  28  29  123.73  0.03
 19  20  29  30  131.63  0.03
 19  20  30  31  136.59  0.03
 19  20  31  32  144.29  0.03
 19  20  32  33  132.33  0.03
 19  20  33  34  127.86  0.03
 19  20  34  35  121.77  0.03
 19  20  35  36  121.43  0.03
 19  20  36  37  130.60  0.03
 19  20  37  38  127.41  0.03
 19  20  38  39  126.68  0.03
 19  20  39  40  117.53  0.03
 19  20  40  41  100.42  0.03
 19  20  41  42  101.25  0.03
 19  20  42  43  115.60  0.03
 19  20  43  44  117.84  0.03
 19  20  44  45  114.62  0.03
 19  20  45  46  115.58  0.03
 19  20  46  47  113.90  0.03
 19  20  47  48  113.97  0.03
 19  20  48  49  109.52  0.03
 19  20  49  50  118.30  0.03
 19  20  50  51  111.60  0.03
 19  20  51  52  121.18  0.03
 20  21  27  28  129.14  0.03
 20  21  28  29  126.09  0.03
 20  21  29  30  134.35  0.03
 20  21  30  31  139.37  0.03
 20  21  31  32  147.51  0.03
 20  21  32  33  134.90  0.03
 20  21  33  34  130.37  0.03
 20  21  34  35  123.97  0.03
 20  21  35  36  123.49  0.03
 20  21  36  37  132.96  0.03
 20  21  37  38  129.44  0.03
 20  21  38  39  128.61  0.03
 20  21  39  40  119.17  0.03
 20  21  40  41  101.63  0.03
 20  21  41  42  102.51  0.03
 20  21  42  43  117.08  0.03
 20  21  43  44  119.10  0.03
 20  21  44  45  115.60  0.03
 20  21  45  46  116.33  0.03
 20  21  46  47  114.43  0.03
 20  21  47  48  114.26  0.03
 20  21  48  49  109.73  0.03
 20  21  49  50  118.11  0.03
 20  21  50  51  111.44  0.03
 20  21  51  52  120.44  0.03
 21  22  27  28  117.51  0.03
 21  22  28  29  114.39  0.03
 21  22  29  30  122.21  0.03
 21  22  30  31  126.83  0.03
 21  22  31  32  134.70  0.03
 21  22  32  33  122.86  0.03
 21  22  33  34  118.89  0.03
 21  22  34  35  112.97  0.03
 21  22  35  36  112.53  0.03
 21  22  36  37  121.48  0.03
 21  22  37  38  118.14  0.03
 21  22  38  39  117.45  0.03
 21  22  39  40  108.82  0.03
 21  22  40  41  92.72  0.03
 21  22  41  42  93.70  0.03
 21  22  42  43  107.23  0.03
 21  22  43  44  109.00  0.03
 21  22  44  45  105.72  0.03
 21  22  45  46  106.36  0.03
 21  22  46  47  104.62  0.03
 21  22  47  48  104.46  0.03
 21  22  48  49  100.49  0.03
 21  22  49  50  108.03  0.03
 21  22  50  51  102.32  0.03
 21  22  51  52  110.48  0.03
 22  23  27  28  120.91  0.03
 22  23  28  29  117.21  0.03
 22  23  29  30  125.61  0.03
 22  23  30  31  130.35  0.03
 22  23  31  32  138.97  0.03
 22  23  32  33  126.23  0.03
 22  23  33  34  122.26  0.03
 22  23  34  35  115.96  0.03
 22  23  35  36  115.41  0.03
 22  23  36  37  124.91  0.03
 22  23  37  38  121.23  0.03
 22  23  38  39  120.54  0.03
 22  23  39  40  111.59  0.03
 22  23  40  41  94.92  0.03
 22  23  41  42  96.07  0.03
 22  23  42  43  110.10  0.03
 22  23  43  44  111.78  0.03
 22  23  44  45  108.30  0.03
 22  23  45  46  108.85  0.03
 22  23  46  47  107.01  0.03
 22  23  47  48  106.77  0.03
 22  23  48  49  102.84  0.03
 22  23  49  50  110.29  0.03
 22  23  50  51  104.75  0.03
 22  23  51  52  112.71  0.03
 23  24  27  28  129.29  0.03
 23  24  28  29  124.69  0.03
 23  24  29  30  134.11  0.03
 23  24  30  31  139.13  0.03
 23  24  31  32  148.96  0.03
 23  24  32  33  134.58  0.03
 23  24  33  34  130.42  0.03
 23  24  34  35  123.36  0.03
 23  24  35  36  122.59  0.03
 23  24  36  37  133.03  0.03
 23  24  37  38  128.75  0.03
 23  24  38  39  127.96  0.03
 23  24  39  40  118.29  0.03
 23  24  40  41  100.37  0.03
 23  24  41  42  101.67  0.03
 23  24  42  43  116.62  0.03
 23  24  43  44  118.19  0.03
 23  24  44  45  114.33  0.03
 23  24  45  46  114.75  0.03
 23  24  46  47  112.68  0.03
 23  24  47  48  112.26  0.03
 23  24  48  49  108.21  0.03
 23  24  49  50  115.61  0.03
 23  24  50  51  110.06  0.03
 23  24  51  52  117.88  0.03
 24  25  27  28  127.23  0.03
 24  25  28  29  121.93  0.03
 24  25  29  30  131.82  0.03
 24  25  30  31  136.83  0.03
 24  25  31  32  147.40  0.03
 24  25  32  33  132.40  0.03
 24  25  33  34  128.51  0.03
 24  25  34  35  121.26  0.03
 24  25  35  36  120.42  0.03
 24  25  36  37  131.22  0.03
 24  25  37  38  126.71  0.03
 24  25  38  39  125.99  0.03
 24  25  39  40  116.37  0.03
 24  25  40  41  98.55  0.03
 24  25  41  42  100.03  0.03
 24  25  42  43  114.94  0.03
 24  25  43  44  116.36  0.03
 24  25  44  45  112.49  0.03
 24  25  45  46  112.84  0.03
 24  25  46  47  110.80  0.03
 24  25  47  48  110.35  0.03
 24  25  48  49  106.60  0.03
 24  25  49  50  113.63  0.03
 24  25  50  51  108.65  0.03
 24  25  51  52  116.02  0.03
 25  26  27  28  124.24  0.03
 25  26  28  29  118.07  0.03
 25  26  29  30  128.55  0.03
 25  26  30  31  133.53  0.03
 25  26  31  32  145.03  0.03
 25  26  32  33  129.29  0.03
 25  26  33  34  125.76  0.03
 25  26  34  35  118.31  0.03
 25  26  35  36  117.41  0.03
 25  26  36  37  128.61  0.03
 25  26  37  38  123.87  0.03
 25  26  38  39  123.24  0.03
 25  26  39  40  113.71  0.03
