"Wolkenburg",40611,"Schlumberger","1.5m"
1.5
7
276
1
0
2.25,1.5,1,156.69
3.75,1.5,1,191.79
5.25,1.5,1,207.57
6.75,1.5,1,238.43
8.25,1.5,1,243.28
9.75,1.5,1,253.61
11.25,1.5,1,236.23
12.75,1.5,1,227.34
14.25,1.5,1,258.48
15.75,1.5,1,249.18
17.25,1.5,1,238.19
18.75,1.5,1,262.47
20.25,1.5,1,304.41
21.75,1.5,1,316.34
23.25,1.5,1,368.1
24.75,1.5,1,400.81
26.25,1.5,1,397.04
27.75,1.5,1,408.31
29.25,1.5,1,364.17
30.75,1.5,1,369.93
32.25,1.5,1,355.99
33.75,1.5,1,350.01
35.25,1.5,1,342.04
36.75,1.5,1,371.43
38.25,1.5,1,375.13
39.75,1.5,1,382.49
41.25,1.5,1,399.83
42.75,1.5,1,396.22
44.25,1.5,1,446.05
45.75,1.5,1,481.9
47.25,1.5,1,518.87
3.75,1.5,2,186.7
5.25,1.5,2,203.02
6.75,1.5,2,197.3
8.25,1.5,2,216.09
9.75,1.5,2,228.34
11.25,1.5,2,192.75
12.75,1.5,2,193.94
14.25,1.5,2,273.48
15.75,1.5,2,278.81
17.25,1.5,2,226.89
18.75,1.5,2,283.53
20.25,1.5,2,389.36
21.75,1.5,2,334.61
23.25,1.5,2,379.31
24.75,1.5,2,454.98
26.25,1.5,2,416.94
27.75,1.5,2,424.54
29.25,1.5,2,411.67
30.75,1.5,2,417.42
32.25,1.5,2,417.7
33.75,1.5,2,393.97
35.25,1.5,2,373.68
36.75,1.5,2,409.8
38.25,1.5,2,425.48
39.75,1.5,2,454.3
41.25,1.5,2,431.08
42.75,1.5,2,410.94
44.25,1.5,2,490.88
45.75,1.5,2,500.85
5.25,1.5,3,182.49
6.75,1.5,3,191.59
8.25,1.5,3,211.89
9.75,1.5,3,209.81
11.25,1.5,3,171.35
12.75,1.5,3,183.89
14.25,1.5,3,287.05
15.75,1.5,3,282.02
17.25,1.5,3,222.47
18.75,1.5,3,266.03
20.25,1.5,3,373.91
21.75,1.5,3,328.66
23.25,1.5,3,362.78
24.75,1.5,3,421.67
26.25,1.5,3,405.49
27.75,1.5,3,385.1
29.25,1.5,3,388.33
30.75,1.5,3,422.93
32.25,1.5,3,425.41
33.75,1.5,3,407.34
35.25,1.5,3,374.66
36.75,1.5,3,401.25
38.25,1.5,3,448.45
39.75,1.5,3,457.31
41.25,1.5,3,408.54
42.75,1.5,3,397.8
44.25,1.5,3,471.31
6.75,1.5,4,200.11
8.25,1.5,4,216.05
9.75,1.5,4,205.45
11.25,1.5,4,173.08
12.75,1.5,4,190.93
14.25,1.5,4,280.77
15.75,1.5,4,286.58
17.25,1.5,4,231.8
18.75,1.5,4,250.82
20.25,1.5,4,331.66
21.75,1.5,4,303.56
23.25,1.5,4,354.19
24.75,1.5,4,397.21
26.25,1.5,4,360.4
27.75,1.5,4,375
29.25,1.5,4,362.16
30.75,1.5,4,395.69
32.25,1.5,4,415.12
33.75,1.5,4,389.51
35.25,1.5,4,365.55
36.75,1.5,4,405.51
38.25,1.5,4,432.1
39.75,1.5,4,437.96
41.25,1.5,4,403.89
42.75,1.5,4,381.44
8.25,1.5,5,220.17
9.75,1.5,5,217.67
11.25,1.5,5,184.33
12.75,1.5,5,191.23
14.25,1.5,5,284.56
15.75,1.5,5,291.52
17.25,1.5,5,228.07
18.75,1.5,5,250.49
20.25,1.5,5,323.89
21.75,1.5,5,275.37
23.25,1.5,5,328.17
24.75,1.5,5,386.02
26.25,1.5,5,346.72
27.75,1.5,5,357.57
29.25,1.5,5,362.16
30.75,1.5,5,368.54
32.25,1.5,5,382.24
33.75,1.5,5,373.55
35.25,1.5,5,364.57
36.75,1.5,5,389.81
38.25,1.5,5,409.8
39.75,1.5,5,427.11
41.25,1.5,5,397.1
9.75,1.5,6,229.35
11.25,1.5,6,187.32
12.75,1.5,6,195.24
14.25,1.5,6,297.31
15.75,1.5,6,294.84
17.25,1.5,6,235.22
18.75,1.5,6,251.62
20.25,1.5,6,333.39
21.75,1.5,6,271.53
23.25,1.5,6,308.83
24.75,1.5,6,371.25
26.25,1.5,6,360.67
27.75,1.5,6,354.55
29.25,1.5,6,344.96
30.75,1.5,6,364.44
32.25,1.5,6,368.98
33.75,1.5,6,361.06
35.25,1.5,6,352.18
36.75,1.5,6,380.21
38.25,1.5,6,406.95
39.75,1.5,6,417.44
11.25,1.5,7,195.05
12.75,1.5,7,202.21
14.25,1.5,7,296.45
15.75,1.5,7,303.68
17.25,1.5,7,233.93
18.75,1.5,7,255.25
20.25,1.5,7,341.51
21.75,1.5,7,284.66
23.25,1.5,7,314.52
24.75,1.5,7,369.86
26.25,1.5,7,349.36
27.75,1.5,7,361.19
29.25,1.5,7,337.6
30.75,1.5,7,346.31
32.25,1.5,7,364.59
33.75,1.5,7,361.32
35.25,1.5,7,341.36
36.75,1.5,7,383.66
38.25,1.5,7,407.05
12.75,1.5,8,205.41
14.25,1.5,8,304.41
15.75,1.5,8,314.7
17.25,1.5,8,254.45
18.75,1.5,8,265.74
20.25,1.5,8,343.52
21.75,1.5,8,293.79
23.25,1.5,8,333.77
24.75,1.5,8,378.76
26.25,1.5,8,341.59
27.75,1.5,8,346.24
29.25,1.5,8,342.3
30.75,1.5,8,361.22
32.25,1.5,8,349.94
33.75,1.5,8,353.5
35.25,1.5,8,343.36
36.75,1.5,8,374.48
14.25,1.5,9,309.77
15.75,1.5,9,323.53
17.25,1.5,9,257.46
18.75,1.5,9,273.31
20.25,1.5,9,344.49
21.75,1.5,9,315.59
23.25,1.5,9,353.92
24.75,1.5,9,396.82
26.25,1.5,9,356.95
27.75,1.5,9,345.04
29.25,1.5,9,337.77
30.75,1.5,9,370.6
32.25,1.5,9,362.02
33.75,1.5,9,345.97
35.25,1.5,9,338.95
15.75,1.5,10,346.08
17.25,1.5,10,269.27
18.75,1.5,10,288.58
20.25,1.5,10,380.75
21.75,1.5,10,324.28
23.25,1.5,10,358.12
24.75,1.5,10,408.97
26.25,1.5,10,359.87
27.75,1.5,10,367.51
29.25,1.5,10,332.07
30.75,1.5,10,374.41
32.25,1.5,10,362.39
33.75,1.5,10,361.97
4.5,3,1,186.38
7.5,3,1,199.305
10.5,3,1,202.445
13.5,3,1,238.38
16.5,3,1,247.875
19.5,3,1,338.04
22.5,3,1,357.225
25.5,3,1,430.82
28.5,3,1,400.7
31.5,3,1,425.925
34.5,3,1,388.7
37.5,3,1,418.355
40.5,3,1,432.64
43.5,3,1,441.31
7.5,3,2,206.705
10.5,3,2,194.48
13.5,3,2,240.63
16.5,3,2,259.325
19.5,3,2,285.235
22.5,3,2,323.945
25.5,3,2,366.86
28.5,3,2,366.16
31.5,3,2,394.605
34.5,3,2,368.985
37.5,3,2,409.065
40.5,3,2,413.875
10.5,3,3,207.795
13.5,3,3,249.015
16.5,3,3,262.525
19.5,3,3,293.585
22.5,3,3,291.365
25.5,3,3,359.875
28.5,3,3,345.29
31.5,3,3,358.4
34.5,3,3,345.73
37.5,3,3,391.17
13.5,3,4,255.52
16.5,3,4,275.61
19.5,3,4,307.745
22.5,3,4,306.345
25.5,3,4,353.39
28.5,3,4,337.165
31.5,3,4,355.995
34.5,3,4,345.71
16.5,3,5,302.52
19.5,3,5,312.14
22.5,3,5,332.995
25.5,3,5,372.3
28.5,3,5,354.855
31.5,3,5,369.7
19.5,3,6,333.44
22.5,3,6,336.095
25.5,3,6,387.93
28.5,3,6,368.18
22.5,3,7,374.11
25.5,3,7,410.97
0
0
0
0
