"Wolkenburg",40611,"Schlumberger","1.5m"
1.5
7
276
1
0
2.25,1.5,1,246.54
3.75,1.5,1,185.69
5.25,1.5,1,205.46
6.75,1.5,1,201.84
8.25,1.5,1,218.2
9.75,1.5,1,229.14
11.25,1.5,1,236.06
12.75,1.5,1,242.31
14.25,1.5,1,277.84
15.75,1.5,1,259.87
17.25,1.5,1,314.87
18.75,1.5,1,314.86
20.25,1.5,1,287.56
21.75,1.5,1,293.01
23.25,1.5,1,270.42
24.75,1.5,1,264.08
26.25,1.5,1,272.92
27.75,1.5,1,267.55
29.25,1.5,1,300.69
30.75,1.5,1,307.57
32.25,1.5,1,332.46
33.75,1.5,1,453.08
35.25,1.5,1,570.13
36.75,1.5,1,635.7
38.25,1.5,1,691.78
39.75,1.5,1,726.46
41.25,1.5,1,728.06
42.75,1.5,1,693.06
44.25,1.5,1,678.94
45.75,1.5,1,635.89
47.25,1.5,1,542.67
3.75,1.5,2,235.02
5.25,1.5,2,230.3
6.75,1.5,2,251.58
8.25,1.5,2,263.59
9.75,1.5,2,280.17
11.25,1.5,2,292.6
12.75,1.5,2,309.22
14.25,1.5,2,344.44
15.75,1.5,2,300.92
17.25,1.5,2,376.55
18.75,1.5,2,386.56
20.25,1.5,2,316.63
21.75,1.5,2,333.29
23.25,1.5,2,305.24
24.75,1.5,2,276.95
26.25,1.5,2,285.52
27.75,1.5,2,274.19
29.25,1.5,2,321.52
30.75,1.5,2,342.81
32.25,1.5,2,317.18
33.75,1.5,2,458.01
35.25,1.5,2,610.52
36.75,1.5,2,583.63
38.25,1.5,2,633.94
39.75,1.5,2,724.66
41.25,1.5,2,697.54
42.75,1.5,2,652.8
44.25,1.5,2,675.36
45.75,1.5,2,625.55
5.25,1.5,3,262.19
6.75,1.5,3,274.67
8.25,1.5,3,305.68
9.75,1.5,3,313.79
11.25,1.5,3,330.23
12.75,1.5,3,317.66
14.25,1.5,3,332.78
15.75,1.5,3,306.42
17.25,1.5,3,390.5
18.75,1.5,3,387.65
20.25,1.5,3,333.38
21.75,1.5,3,319.02
23.25,1.5,3,303.89
24.75,1.5,3,285.04
26.25,1.5,3,295.88
27.75,1.5,3,301.93
29.25,1.5,3,356.18
30.75,1.5,3,329.66
32.25,1.5,3,293.96
33.75,1.5,3,405.62
35.25,1.5,3,541.41
36.75,1.5,3,522.36
38.25,1.5,3,518.08
39.75,1.5,3,567.92
41.25,1.5,3,581.91
42.75,1.5,3,565.17
44.25,1.5,3,565.26
6.75,1.5,4,298.69
8.25,1.5,4,306.97
9.75,1.5,4,342.35
11.25,1.5,4,333.19
12.75,1.5,4,300.13
14.25,1.5,4,318.36
15.75,1.5,4,289.87
17.25,1.5,4,373.46
18.75,1.5,4,386.81
20.25,1.5,4,320.6
21.75,1.5,4,319.06
23.25,1.5,4,289.37
24.75,1.5,4,282.82
26.25,1.5,4,316.42
27.75,1.5,4,324.29
29.25,1.5,4,342.72
30.75,1.5,4,314.46
32.25,1.5,4,266.74
33.75,1.5,4,353.56
35.25,1.5,4,464.32
36.75,1.5,4,458.29
38.25,1.5,4,446.29
39.75,1.5,4,446.21
41.25,1.5,4,457.28
42.75,1.5,4,459.74
8.25,1.5,5,320.76
9.75,1.5,5,328.29
11.25,1.5,5,324.6
12.75,1.5,5,299.99
14.25,1.5,5,305.4
15.75,1.5,5,275.2
17.25,1.5,5,357.05
18.75,1.5,5,369.01
20.25,1.5,5,317.17
21.75,1.5,5,308.65
23.25,1.5,5,295.37
24.75,1.5,5,290.45
26.25,1.5,5,328.22
27.75,1.5,5,316.6
29.25,1.5,5,327.56
30.75,1.5,5,295.71
32.25,1.5,5,248.17
33.75,1.5,5,323.08
35.25,1.5,5,424.69
36.75,1.5,5,391.91
38.25,1.5,5,383.61
39.75,1.5,5,406.69
41.25,1.5,5,380.97
9.75,1.5,6,314.77
11.25,1.5,6,305.24
12.75,1.5,6,304.77
14.25,1.5,6,306.1
15.75,1.5,6,272.03
17.25,1.5,6,342.86
18.75,1.5,6,354.91
20.25,1.5,6,308.35
21.75,1.5,6,316.58
23.25,1.5,6,306.14
24.75,1.5,6,304.33
26.25,1.5,6,316.56
27.75,1.5,6,306.26
29.25,1.5,6,317.86
30.75,1.5,6,279.4
32.25,1.5,6,230.46
33.75,1.5,6,311.97
35.25,1.5,6,393.01
36.75,1.5,6,361.39
38.25,1.5,6,357.51
39.75,1.5,6,369.46
11.25,1.5,7,307.73
12.75,1.5,7,278.98
14.25,1.5,7,309.87
15.75,1.5,7,272.02
17.25,1.5,7,346.89
18.75,1.5,7,356.67
20.25,1.5,7,310.58
21.75,1.5,7,326.16
23.25,1.5,7,325.24
24.75,1.5,7,298.07
26.25,1.5,7,314.63
27.75,1.5,7,302.04
29.25,1.5,7,312.6
30.75,1.5,7,276.49
32.25,1.5,7,237.08
33.75,1.5,7,289.03
35.25,1.5,7,391.76
36.75,1.5,7,356.47
38.25,1.5,7,347.11
12.75,1.5,8,292.79
14.25,1.5,8,292.35
15.75,1.5,8,281.12
17.25,1.5,8,352.6
18.75,1.5,8,359.57
20.25,1.5,8,324.46
21.75,1.5,8,335.45
23.25,1.5,8,320.16
24.75,1.5,8,310.45
26.25,1.5,8,323.44
27.75,1.5,8,301.97
29.25,1.5,8,307.9
30.75,1.5,8,283.62
32.25,1.5,8,228.47
33.75,1.5,8,278.33
35.25,1.5,8,380.56
36.75,1.5,8,350.07
14.25,1.5,9,301.68
15.75,1.5,9,276.16
17.25,1.5,9,361.85
18.75,1.5,9,381.11
20.25,1.5,9,332.09
21.75,1.5,9,334.79
23.25,1.5,9,318.91
24.75,1.5,9,313.71
26.25,1.5,9,325.49
27.75,1.5,9,296.82
29.25,1.5,9,314.68
30.75,1.5,9,268.46
32.25,1.5,9,217.39
33.75,1.5,9,293.12
35.25,1.5,9,379.4
15.75,1.5,10,282.38
17.25,1.5,10,372.12
18.75,1.5,10,406.45
20.25,1.5,10,355.01
21.75,1.5,10,334.55
23.25,1.5,10,327.55
24.75,1.5,10,316.35
26.25,1.5,10,343.47
27.75,1.5,10,322.92
29.25,1.5,10,312.96
30.75,1.5,10,262.6
32.25,1.5,10,226.76
33.75,1.5,10,290.71
4.5,3,1,249.29
7.5,3,1,276.725
10.5,3,1,295.725
13.5,3,1,330.215
16.5,3,1,344.015
19.5,3,1,358.49
22.5,3,1,316.175
25.5,3,1,281.455
28.5,3,1,318.13
31.5,3,1,324.765
34.5,3,1,517.27
37.5,3,1,557.18
40.5,3,1,663.855
43.5,3,1,624.34
7.5,3,2,309.18
10.5,3,2,339.575
13.5,3,2,303.175
16.5,3,2,319.08
19.5,3,2,351.775
22.5,3,2,304.925
25.5,3,2,307.275
28.5,3,2,331.295
31.5,3,2,281.99
34.5,3,2,388.855
37.5,3,2,422.405
40.5,3,2,418.495
10.5,3,3,305.945
13.5,3,3,298.255
16.5,3,3,302.6
19.5,3,3,325.1
22.5,3,3,317.955
25.5,3,3,306.485
28.5,3,3,309.1
31.5,3,3,248.675
34.5,3,3,337.62
37.5,3,3,352.04
13.5,3,4,293.79
16.5,3,4,316.38
19.5,3,4,343.74
22.5,3,4,323.69
25.5,3,4,309.965
28.5,3,4,299.375
31.5,3,4,241.105
34.5,3,4,324.34
16.5,3,5,336.58
19.5,3,5,369.28
22.5,3,5,323.815
25.5,3,5,317.315
28.5,3,5,320.775
31.5,3,5,242.635
19.5,3,6,376.97
22.5,3,6,345.355
25.5,3,6,323.96
28.5,3,6,318.075
22.5,3,7,348.795
25.5,3,7,338.765
0
0
0
0
