"Wolkenburg",40611,"Schlumberger","1.5m"
1.5
7
276
1
0
2.25,1.5,1,227.34
3.75,1.5,1,218.37
5.25,1.5,1,260.19
6.75,1.5,1,259.21
8.25,1.5,1,277.36
9.75,1.5,1,300.52
11.25,1.5,1,273.48
12.75,1.5,1,286.37
14.25,1.5,1,264.67
15.75,1.5,1,283.64
17.25,1.5,1,290.54
18.75,1.5,1,332.66
20.25,1.5,1,354.85
21.75,1.5,1,361.1
23.25,1.5,1,341.08
24.75,1.5,1,323.74
26.25,1.5,1,317.41
27.75,1.5,1,306.74
29.25,1.5,1,291.2
30.75,1.5,1,287.73
32.25,1.5,1,341.18
33.75,1.5,1,337.01
35.25,1.5,1,396.92
36.75,1.5,1,433.65
38.25,1.5,1,551.94
39.75,1.5,1,567.42
41.25,1.5,1,618.19
42.75,1.5,1,628.91
44.25,1.5,1,653.96
45.75,1.5,1,631.55
47.25,1.5,1,677.68
3.75,1.5,2,259.06
5.25,1.5,2,251.65
6.75,1.5,2,245.5
8.25,1.5,2,266.68
9.75,1.5,2,280.08
11.25,1.5,2,281.89
12.75,1.5,2,287.11
14.25,1.5,2,281.21
15.75,1.5,2,294.74
17.25,1.5,2,313.35
18.75,1.5,2,355.7
20.25,1.5,2,377.81
21.75,1.5,2,390.68
23.25,1.5,2,348.52
24.75,1.5,2,356.72
26.25,1.5,2,385.53
27.75,1.5,2,363.68
29.25,1.5,2,310.66
30.75,1.5,2,315.74
32.25,1.5,2,399.56
33.75,1.5,2,392.66
35.25,1.5,2,386.7
36.75,1.5,2,448.1
38.25,1.5,2,542.53
39.75,1.5,2,551.98
41.25,1.5,2,574.39
42.75,1.5,2,618.92
44.25,1.5,2,646.35
45.75,1.5,2,637.72
5.25,1.5,3,246.97
6.75,1.5,3,236.37
8.25,1.5,3,257.35
9.75,1.5,3,273.32
11.25,1.5,3,270.38
12.75,1.5,3,290
14.25,1.5,3,260.94
15.75,1.5,3,276.14
17.25,1.5,3,293.41
18.75,1.5,3,339.95
20.25,1.5,3,356.04
21.75,1.5,3,355.48
23.25,1.5,3,314.2
24.75,1.5,3,327.91
26.25,1.5,3,375.75
27.75,1.5,3,374.32
29.25,1.5,3,323.36
30.75,1.5,3,325.96
32.25,1.5,3,406.09
33.75,1.5,3,393.29
35.25,1.5,3,377.45
36.75,1.5,3,415.39
38.25,1.5,3,512.56
39.75,1.5,3,514.34
41.25,1.5,3,527.48
42.75,1.5,3,536.57
44.25,1.5,3,562.31
6.75,1.5,4,224.44
8.25,1.5,4,246.39
9.75,1.5,4,269.07
11.25,1.5,4,273.72
12.75,1.5,4,279.83
14.25,1.5,4,255.81
15.75,1.5,4,256.44
17.25,1.5,4,276.92
18.75,1.5,4,317.23
20.25,1.5,4,324.26
21.75,1.5,4,327.93
23.25,1.5,4,292.96
24.75,1.5,4,304.36
26.25,1.5,4,333.16
27.75,1.5,4,355.4
29.25,1.5,4,329.48
30.75,1.5,4,330.81
32.25,1.5,4,383.83
33.75,1.5,4,374.73
35.25,1.5,4,356.57
36.75,1.5,4,391.69
38.25,1.5,4,459.02
39.75,1.5,4,477.1
41.25,1.5,4,476.01
42.75,1.5,4,467.79
8.25,1.5,5,241.8
9.75,1.5,5,259.72
11.25,1.5,5,268.69
12.75,1.5,5,280.36
14.25,1.5,5,250.82
15.75,1.5,5,249.91
17.25,1.5,5,267
18.75,1.5,5,288.09
20.25,1.5,5,302.18
21.75,1.5,5,320.37
23.25,1.5,5,284
24.75,1.5,5,286.79
26.25,1.5,5,316.19
27.75,1.5,5,339.23
29.25,1.5,5,319.96
30.75,1.5,5,323.68
32.25,1.5,5,369.03
33.75,1.5,5,355.15
35.25,1.5,5,345.32
36.75,1.5,5,378.22
38.25,1.5,5,442.49
39.75,1.5,5,437.59
41.25,1.5,5,434.96
9.75,1.5,6,256.36
11.25,1.5,6,262.69
12.75,1.5,6,281.56
14.25,1.5,6,256.25
15.75,1.5,6,255.31
17.25,1.5,6,259.87
18.75,1.5,6,276.69
20.25,1.5,6,290.37
21.75,1.5,6,317.46
23.25,1.5,6,280.9
24.75,1.5,6,289.17
26.25,1.5,6,315.39
27.75,1.5,6,335
29.25,1.5,6,303.59
30.75,1.5,6,311.77
32.25,1.5,6,362.72
33.75,1.5,6,351.95
35.25,1.5,6,336.51
36.75,1.5,6,368.83
38.25,1.5,6,434.68
39.75,1.5,6,408.84
11.25,1.5,7,259.64
12.75,1.5,7,278.51
14.25,1.5,7,261.37
15.75,1.5,7,256.05
17.25,1.5,7,272.1
18.75,1.5,7,285.31
20.25,1.5,7,295.9
21.75,1.5,7,316.52
23.25,1.5,7,297.26
24.75,1.5,7,296.56
26.25,1.5,7,319.48
27.75,1.5,7,333.33
29.25,1.5,7,293.45
30.75,1.5,7,289.86
32.25,1.5,7,364.29
33.75,1.5,7,356.08
35.25,1.5,7,331.4
36.75,1.5,7,365.46
38.25,1.5,7,412.45
12.75,1.5,8,280.37
14.25,1.5,8,260.7
15.75,1.5,8,257.69
17.25,1.5,8,273.52
18.75,1.5,8,305.4
20.25,1.5,8,299.29
21.75,1.5,8,324.95
23.25,1.5,8,290.52
24.75,1.5,8,306.21
26.25,1.5,8,324.19
27.75,1.5,8,332.66
29.25,1.5,8,287.58
30.75,1.5,8,296.5
32.25,1.5,8,335.72
33.75,1.5,8,366.23
35.25,1.5,8,325.05
36.75,1.5,8,358.76
14.25,1.5,9,268.97
15.75,1.5,9,261.96
17.25,1.5,9,283.04
18.75,1.5,9,310.43
20.25,1.5,9,314.13
21.75,1.5,9,343.83
23.25,1.5,9,315.84
24.75,1.5,9,304.45
26.25,1.5,9,331.51
27.75,1.5,9,335.33
29.25,1.5,9,299.65
30.75,1.5,9,289.99
32.25,1.5,9,343.07
33.75,1.5,9,348.6
35.25,1.5,9,316.6
15.75,1.5,10,285.08
17.25,1.5,10,288.27
18.75,1.5,10,317.71
20.25,1.5,10,340.53
21.75,1.5,10,369.18
23.25,1.5,10,322.63
24.75,1.5,10,321.95
26.25,1.5,10,330.57
27.75,1.5,10,374.62
29.25,1.5,10,304.69
30.75,1.5,10,299.85
32.25,1.5,10,352.51
33.75,1.5,10,350.19
4.5,3,1,253.43
7.5,3,1,251.485
10.5,3,1,280.05
13.5,3,1,282.845
16.5,3,1,305.785
19.5,3,1,360.595
22.5,3,1,340.88
25.5,3,1,364.925
28.5,3,1,337.52
31.5,3,1,363.2
34.5,3,1,389.21
37.5,3,1,487.97
40.5,3,1,541.77
43.5,3,1,606.24
7.5,3,2,233.455
10.5,3,2,271.1
13.5,3,2,265.885
16.5,3,2,261.25
19.5,3,2,310.4
22.5,3,2,300.935
25.5,3,2,306.785
28.5,3,2,337.11
31.5,3,2,356.155
34.5,3,2,357.86
37.5,3,2,416.78
40.5,3,2,457.235
10.5,3,3,257.01
13.5,3,3,265.99
16.5,3,3,256.235
19.5,3,3,283.21
22.5,3,3,292.85
25.5,3,3,303.78
28.5,3,3,312.59
31.5,3,3,325.395
34.5,3,3,332.37
37.5,3,3,388.895
13.5,3,4,266.46
16.5,3,4,265.49
19.5,3,4,299.46
22.5,3,4,313.255
25.5,3,4,316.35
28.5,3,4,304.265
31.5,3,4,311.72
34.5,3,4,329.785
16.5,3,5,282.245
19.5,3,5,324.245
22.5,3,5,329.155
25.5,3,5,315.355
28.5,3,5,319.485
31.5,3,5,317.915
19.5,3,6,342.755
22.5,3,6,340.42
25.5,3,6,340.84
28.5,3,6,335.755
22.5,3,7,357.14
25.5,3,7,346.825
0
0
0
0
