"Wolkenburg",40611,"Schlumberger","1.5m"
  1.5000
7
266
0
0
      0.0000,      1.5000,    1.000000,    166.2600
      1.5000,      1.5000,    1.000000,    212.3200
      3.0000,      1.5000,    1.000000,    230.1300
      4.5000,      1.5000,    1.000000,    246.4500
      6.0000,      1.5000,    1.000000,    249.5100
      7.5000,      1.5000,    1.000000,    233.1500
      9.0000,      1.5000,    1.000000,    233.2400
     10.5000,      1.5000,    1.000000,    234.4600
     12.0000,      1.5000,    1.000000,    260.2400
     13.5000,      1.5000,    1.000000,    241.5100
     15.0000,      1.5000,    1.000000,    257.1500
     16.5000,      1.5000,    1.000000,    248.0300
     18.0000,      1.5000,    1.000000,    309.6000
     19.5000,      1.5000,    1.000000,    344.3900
     21.0000,      1.5000,    1.000000,    370.6400
     22.5000,      1.5000,    1.000000,    375.3300
     24.0000,      1.5000,    1.000000,    376.9300
     25.5000,      1.5000,    1.000000,    372.5800
     27.0000,      1.5000,    1.000000,    361.6100
     28.5000,      1.5000,    1.000000,    347.0900
     30.0000,      1.5000,    1.000000,    342.1800
     31.5000,      1.5000,    1.000000,    330.8900
     33.0000,      1.5000,    1.000000,    348.2500
     34.5000,      1.5000,    1.000000,    397.3700
     36.0000,      1.5000,    1.000000,    451.2500
     39.0000,      1.5000,    1.000000,    508.4000
     40.5000,      1.5000,    1.000000,    527.9500
     42.0000,      1.5000,    1.000000,    534.2400
     45.0000,      1.5000,    1.000000,    504.7300
      0.0000,      1.5000,    2.000000,    201.4400
      1.5000,      1.5000,    2.000000,    202.5700
      3.0000,      1.5000,    2.000000,    239.8000
      4.5000,      1.5000,    2.000000,    241.1900
      6.0000,      1.5000,    2.000000,    227.3700
      7.5000,      1.5000,    2.000000,    224.1100
      9.0000,      1.5000,    2.000000,    224.0200
     10.5000,      1.5000,    2.000000,    254.5400
     12.0000,      1.5000,    2.000000,    258.2500
     13.5000,      1.5000,    2.000000,    278.1200
     16.5000,      1.5000,    2.000000,    350.8500
     18.0000,      1.5000,    2.000000,    387.2200
     19.5000,      1.5000,    2.000000,    363.8800
     21.0000,      1.5000,    2.000000,    397.3800
     22.5000,      1.5000,    2.000000,    406.4000
     24.0000,      1.5000,    2.000000,    422.6500
     25.5000,      1.5000,    2.000000,    412.0300
     27.0000,      1.5000,    2.000000,    386.9400
     28.5000,      1.5000,    2.000000,    410.1200
     30.0000,      1.5000,    2.000000,    405.0000
     31.5000,      1.5000,    2.000000,    405.0400
     33.0000,      1.5000,    2.000000,    454.7900
     34.5000,      1.5000,    2.000000,    491.7300
     36.0000,      1.5000,    2.000000,    533.9000
     37.5000,      1.5000,    2.000000,    503.8200
     39.0000,      1.5000,    2.000000,    529.3900
     40.5000,      1.5000,    2.000000,    594.2900
     42.0000,      1.5000,    2.000000,    568.6700
      0.0000,      3.0000,    1.000000,    187.9450
      3.0000,      3.0000,    1.000000,    235.8750
      6.0000,      3.0000,    1.000000,    223.9450
      9.0000,      3.0000,    1.000000,    236.0550
     12.0000,      3.0000,    1.000000,    272.5050
     15.0000,      3.0000,    1.000000,    310.5200
     18.0000,      3.0000,    1.000000,    376.3600
     21.0000,      3.0000,    1.000000,    386.5600
     24.0000,      3.0000,    1.000000,    415.8250
     27.0000,      3.0000,    1.000000,    403.9000
     30.0000,      3.0000,    1.000000,    412.8000
     33.0000,      3.0000,    1.000000,    470.8150
     36.0000,      3.0000,    1.000000,    490.3500
     39.0000,      3.0000,    1.000000,    551.0200
      0.0000,      1.5000,    3.000000,    184.6200
      1.5000,      1.5000,    3.000000,    226.0700
      3.0000,      1.5000,    3.000000,    240.7500
      4.5000,      1.5000,    3.000000,    217.8000
      6.0000,      1.5000,    3.000000,    213.6700
      7.5000,      1.5000,    3.000000,    214.4400
      9.0000,      1.5000,    3.000000,    260.2900
     10.5000,      1.5000,    3.000000,    265.1500
     12.0000,      1.5000,    3.000000,    259.5600
     13.5000,      1.5000,    3.000000,    238.2200
     15.0000,      1.5000,    3.000000,    337.2700
     16.5000,      1.5000,    3.000000,    369.2600
     18.0000,      1.5000,    3.000000,    355.3700
     19.5000,      1.5000,    3.000000,    350.3400
     21.0000,      1.5000,    3.000000,    380.4200
     22.5000,      1.5000,    3.000000,    401.4100
     24.0000,      1.5000,    3.000000,    409.4500
     25.5000,      1.5000,    3.000000,    400.3300
     27.0000,      1.5000,    3.000000,    424.4600
     28.5000,      1.5000,    3.000000,    402.2600
     30.0000,      1.5000,    3.000000,    397.1500
     31.5000,      1.5000,    3.000000,    448.8100
     33.0000,      1.5000,    3.000000,    490.2300
     34.5000,      1.5000,    3.000000,    501.0500
     36.0000,      1.5000,    3.000000,    470.2800
     37.5000,      1.5000,    3.000000,    502.5000
     39.0000,      1.5000,    3.000000,    513.4300
      0.0000,      1.5000,    4.000000,    209.6500
      1.5000,      1.5000,    4.000000,    224.9800
      3.0000,      1.5000,    4.000000,    212.0300
      4.5000,      1.5000,    4.000000,    212.9600
      6.0000,      1.5000,    4.000000,    215.5600
      7.5000,      1.5000,    4.000000,    269.7900
      9.0000,      1.5000,    4.000000,    255.1500
     10.5000,      1.5000,    4.000000,    255.9900
     12.0000,      1.5000,    4.000000,    224.9200
     13.5000,      1.5000,    4.000000,    305.7000
     15.0000,      1.5000,    4.000000,    344.9600
     16.5000,      1.5000,    4.000000,    331.5500
     18.0000,      1.5000,    4.000000,    346.2300
     19.5000,      1.5000,    4.000000,    332.2200
     21.0000,      1.5000,    4.000000,    369.4700
     22.5000,      1.5000,    4.000000,    394.5700
     24.0000,      1.5000,    4.000000,    391.8800
     25.5000,      1.5000,    4.000000,    404.8900
     27.0000,      1.5000,    4.000000,    373.2300
     28.5000,      1.5000,    4.000000,    377.8400
     30.0000,      1.5000,    4.000000,    426.6100
