"Wolkenburg",40611,"Schlumberger","1.5m"
  1.5000
7
266
0
0
      1.5000,      1.5000,    1.000000,    150.9400
      3.0000,      1.5000,    1.000000,    183.5600
      4.5000,      1.5000,    1.000000,    228.1900
      6.0000,      1.5000,    1.000000,    259.6500
      7.5000,      1.5000,    1.000000,    248.8300
      9.0000,      1.5000,    1.000000,    259.6900
     10.5000,      1.5000,    1.000000,    236.8200
     12.0000,      1.5000,    1.000000,    269.1500
     13.5000,      1.5000,    1.000000,    287.2700
     15.0000,      1.5000,    1.000000,    302.5500
     16.5000,      1.5000,    1.000000,    318.4700
     18.0000,      1.5000,    1.000000,    305.2900
     19.5000,      1.5000,    1.000000,    328.9100
     21.0000,      1.5000,    1.000000,    319.7400
     22.5000,      1.5000,    1.000000,    338.2700
     24.0000,      1.5000,    1.000000,    349.0200
     25.5000,      1.5000,    1.000000,    322.8700
     27.0000,      1.5000,    1.000000,    350.0100
     28.5000,      1.5000,    1.000000,    319.8700
     30.0000,      1.5000,    1.000000,    331.1600
     31.5000,      1.5000,    1.000000,    319.1700
     33.0000,      1.5000,    1.000000,    328.6500
     34.5000,      1.5000,    1.000000,    330.6400
     36.0000,      1.5000,    1.000000,    314.2200
     37.5000,      1.5000,    1.000000,    364.7100
     39.0000,      1.5000,    1.000000,    346.7600
     40.5000,      1.5000,    1.000000,    385.1200
     42.0000,      1.5000,    1.000000,    385.3900
     43.5000,      1.5000,    1.000000,    425.7400
     45.0000,      1.5000,    1.000000,    423.2500
      0.0000,      1.5000,    2.000000,    146.9500
      1.5000,      1.5000,    2.000000,    171.5800
      3.0000,      1.5000,    2.000000,    190.2000
      4.5000,      1.5000,    2.000000,    204.3600
      6.0000,      1.5000,    2.000000,    204.1700
      7.5000,      1.5000,    2.000000,    197.6600
      9.0000,      1.5000,    2.000000,    176.5600
     10.5000,      1.5000,    2.000000,    236.1900
     12.0000,      1.5000,    2.000000,    264.4500
     13.5000,      1.5000,    2.000000,    248.7400
     15.0000,      1.5000,    2.000000,    263.3800
     16.5000,      1.5000,    2.000000,    311.6700
     18.0000,      1.5000,    2.000000,    332.2300
     19.5000,      1.5000,    2.000000,    330.4600
     21.0000,      1.5000,    2.000000,    366.5900
     22.5000,      1.5000,    2.000000,    372.4200
     24.0000,      1.5000,    2.000000,    364.7000
     25.5000,      1.5000,    2.000000,    406.4900
     27.0000,      1.5000,    2.000000,    381.5600
     28.5000,      1.5000,    2.000000,    373.6500
     30.0000,      1.5000,    2.000000,    376.8800
     31.5000,      1.5000,    2.000000,    400.5000
     33.0000,      1.5000,    2.000000,    363.2700
     34.5000,      1.5000,    2.000000,    363.8800
     36.0000,      1.5000,    2.000000,    400.4200
     37.5000,      1.5000,    2.000000,    364.1100
     39.0000,      1.5000,    2.000000,    355.3300
     40.5000,      1.5000,    2.000000,    383.4800
     42.0000,      1.5000,    2.000000,    413.5800
      0.0000,      3.0000,    1.000000,    157.9900
      3.0000,      3.0000,    1.000000,    191.9050
      6.0000,      3.0000,    1.000000,    192.0100
      9.0000,      3.0000,    1.000000,    205.0650
     12.0000,      3.0000,    1.000000,    262.9800
     15.0000,      3.0000,    1.000000,    286.4600
     18.0000,      3.0000,    1.000000,    332.2250
     21.0000,      3.0000,    1.000000,    360.3900
     24.0000,      3.0000,    1.000000,    387.4200
     27.0000,      3.0000,    1.000000,    381.7150
     30.0000,      3.0000,    1.000000,    391.4950
     33.0000,      3.0000,    1.000000,    366.0450
     36.0000,      3.0000,    1.000000,    387.9400
     39.0000,      3.0000,    1.000000,    364.5050
      0.0000,      1.5000,    3.000000,    169.6500
      1.5000,      1.5000,    3.000000,    189.0800
      3.0000,      1.5000,    3.000000,    205.3600
      4.5000,      1.5000,    3.000000,    195.1700
      6.0000,      1.5000,    3.000000,    172.9500
      7.5000,      1.5000,    3.000000,    151.0900
      9.0000,      1.5000,    3.000000,    232.2000
     10.5000,      1.5000,    3.000000,    274.4300
     12.0000,      1.5000,    3.000000,    253.6500
     13.5000,      1.5000,    3.000000,    266.6600
     15.0000,      1.5000,    3.000000,    300.4700
     16.5000,      1.5000,    3.000000,    323.4500
     18.0000,      1.5000,    3.000000,    325.3900
     19.5000,      1.5000,    3.000000,    359.6900
     21.0000,      1.5000,    3.000000,    376.9300
     22.5000,      1.5000,    3.000000,    367.6500
     24.0000,      1.5000,    3.000000,    413.8800
     25.5000,      1.5000,    3.000000,    386.6100
     27.0000,      1.5000,    3.000000,    392.5500
     28.5000,      1.5000,    3.000000,    386.5200
     30.0000,      1.5000,    3.000000,    393.5100
     31.5000,      1.5000,    3.000000,    363.6100
     33.0000,      1.5000,    3.000000,    374.9200
     36.0000,      1.5000,    3.000000,    349.7200
     37.5000,      1.5000,    3.000000,    348.8100
     39.0000,      1.5000,    3.000000,    370.0300
      0.0000,      1.5000,    4.000000,    214.8300
      1.5000,      1.5000,    4.000000,    227.7400
      3.0000,      1.5000,    4.000000,    197.0200
      4.5000,      1.5000,    4.000000,    170.2100
      6.0000,      1.5000,    4.000000,    149.7000
      7.5000,      1.5000,    4.000000,    235.5200
      9.0000,      1.5000,    4.000000,    281.1700
     10.5000,      1.5000,    4.000000,    276.3100
     12.0000,      1.5000,    4.000000,    278.4000
     13.5000,      1.5000,    4.000000,    294.6400
     15.0000,      1.5000,    4.000000,    302.9600
     16.5000,      1.5000,    4.000000,    308.8900
     18.0000,      1.5000,    4.000000,    357.9800
     19.5000,      1.5000,    4.000000,    377.6400
     21.0000,      1.5000,    4.000000,    366.8800
     22.5000,      1.5000,    4.000000,    397.7800
     24.0000,      1.5000,    4.000000,    375.3900
     25.5000,      1.5000,    4.000000,    386.6600
     27.0000,      1.5000,    4.000000,    373.1800
     28.5000,      1.5000,    4.000000,    387.3400
