"Karsdorf",990401,"Wenner","8m","P11"
8
1
610
0
0
0,8,124.67
8,8,136.48
16,8,127.57
24,8,129
32,8,126.45
40,8,122.96
48,8,124.46
56,8,122.29
64,8,134.1
72,8,137.75
80,8,168.8
88,8,187.59
96,8,212.86
104,8,222.03
112,8,263.53
120,8,298.56
128,8,279.74
136,8,278.72
144,8,250.25
152,8,240.15
160,8,224.16
168,8,197.07
176,8,219.76
184,8,153.43
192,8,139.29
200,8,120.73
208,8,121.64
216,8,141.94
224,8,181.4
232,8,185.33
240,8,185.88
248,8,162.53
256,8,172.06
264,8,134.14
272,8,151.04
280,8,88.72
288,8,85.45
296,8,86.27
304,8,97.31
312,8,123.75
320,8,136.37
328,8,141.06
336,8,152.4
344,8,113.73
352,8,112.39
360,8,83.87
368,8,65.69
376,8,76
384,8,141.37
392,8,123.7
400,8,205.01
408,8,196.77
416,8,212.94
424,8,222
432,8,212.57
440,8,219
448,8,174.95
456,8,206.84
464,8,190.31
0,16,171.73
8,16,183.29
16,16,187.51
24,16,183.51
32,16,179.58
40,16,183.82
48,16,190.06
56,16,189.28
64,16,205.13
72,16,248.47
80,16,265.89
88,16,247.34
96,16,263.96
104,16,307.69
112,16,307.86
120,16,283.04
128,16,283.8
136,16,290.12
144,16,257.31
152,16,240.24
160,16,258.95
168,16,250.78
176,16,193.17
184,16,174.05
192,16,180.32
200,16,176.59
208,16,184.9
216,16,206.02
224,16,183.63
232,16,169.65
240,16,148.99
248,16,155.31
256,16,155.62
264,16,144.25
272,16,95.1
280,16,92.53
288,16,108.38
296,16,106.64
304,16,116.16
312,16,130.66
320,16,124.36
328,16,101.29
336,16,101.31
344,16,119.07
352,16,93.01
360,16,95.31
368,16,127.73
376,16,126.04
384,16,129.92
392,16,161.02
400,16,189.88
408,16,185.74
416,16,203.15
424,16,206.44
432,16,188.35
440,16,179.19
0,24,207.19
8,24,220.66
16,24,225.48
24,24,222.34
32,24,218.95
40,24,217.27
48,24,241.15
56,24,266.15
64,24,276.87
72,24,272.4
80,24,280.07
88,24,294.68
96,24,312.17
104,24,318.82
112,24,304.09
120,24,282.05
128,24,280.4
136,24,285.83
144,24,301.78
152,24,287.91
160,24,272.11
168,24,221.49
176,24,197.51
184,24,188.63
192,24,221.11
200,24,227.53
208,24,215.58
216,24,174.15
224,24,152.57
232,24,154.81
240,24,181.89
248,24,163.51
256,24,146.41
264,24,104.09
272,24,101.52
280,24,104.51
288,24,123.68
296,24,114.83
304,24,101.77
312,24,98.48
320,24,106.37
328,24,111.13
336,24,116.2
344,24,115.31
352,24,130.65
360,24,124.96
368,24,144.88
376,24,141.16
384,24,148.02
392,24,164.03
400,24,193.51
408,24,198.04
416,24,186.62
0,32,233.83
8,32,238.49
16,32,238.48
24,32,243.07
32,32,254.55
40,32,268.86
48,32,277.82
56,32,289.15
64,32,303.94
72,32,313.52
80,32,313.22
88,32,320.81
96,32,305.92
104,32,297.83
112,32,295.34
120,32,296.66
128,32,322.15
136,32,319.21
144,32,296.69
152,32,264.8
160,32,221.26
168,32,210.81
176,32,214.8
184,32,229.16
192,32,215.47
200,32,209.41
208,32,202.56
216,32,183.77
224,32,187.05
232,32,173.38
240,32,160.49
248,32,149.94
256,32,108.74
264,32,109
272,32,113.27
280,32,104.75
288,32,103.63
296,32,111.7
304,32,115.05
312,32,124.23
320,32,116.55
328,32,126.03
336,32,141.87
344,32,127.62
352,32,134.44
360,32,140.59
368,32,150.61
376,32,165.31
384,32,163.21
392,32,173.87
0,40,239.67
8,40,249.18
16,40,256.82
24,40,272.06
32,40,282
40,40,290.95
48,40,314.04
56,40,329.56
64,40,326.25
72,40,304.7
80,40,312.12
88,40,309.5
96,40,306.88
104,40,311.16
112,40,328.61
120,40,315.68
128,40,290.7
136,40,274.41
144,40,257.72
152,40,220.43
160,40,217.99
168,40,209.25
176,40,211.76
184,40,216.64
192,40,237.73
200,40,230.53
208,40,218.74
216,40,192.16
224,40,178.44
232,40,158.76
240,40,151.9
248,40,114.41
256,40,107.43
264,40,106.22
272,40,118.24
280,40,112.16
288,40,138.54
296,40,137.04
304,40,121.52
312,40,124.23
320,40,147.86
328,40,135.27
336,40,134.32
344,40,133.11
352,40,151.72
360,40,155.97
368,40,172.36
0,48,241.89
8,48,268.22
16,48,281.87
24,48,288.81
32,48,307.17
40,48,329.74
48,48,321.2
56,48,313.52
64,48,317.99
72,48,326.68
80,48,325.56
88,48,314.67
96,48,319.78
104,48,304.61
112,48,286.35
120,48,265.79
128,48,253.26
136,48,238.06
144,48,208.88
152,48,205.68
160,48,214.25
168,48,221.25
176,48,231.55
184,48,239.57
192,48,252.84
200,48,221.23
208,48,202.76
216,48,187.54
224,48,165.74
232,48,142.94
240,48,116.97
248,48,123.07
256,48,126.14
264,48,133.09
272,48,143.42
280,48,150.14
288,48,144.03
296,48,132.01
304,48,143.74
312,48,134.27
320,48,144.05
328,48,138.41
336,48,146.4
344,48,161.8
0,56,259.57
8,56,277.24
16,56,295.14
24,56,305.15
32,56,317.12
40,56,323.14
48,56,332.62
