C:\SAS4000\Projects\lrmnr002.s4k
1.0
7
1113    
0
0
    4.50     6.00   3.000000    15.049130
    5.50     6.00   3.000000    14.309406
    6.50     6.00   3.000000    14.583018
    7.50     6.00   3.000000    14.259014
    8.50     6.00   3.000000    14.577336
    9.50     6.00   3.000000    14.318700
   10.50     6.00   3.000000    13.917958
   11.50     6.00   3.000000    12.719473
   12.50     6.00   3.000000    14.023118
   13.50     6.00   3.000000    14.679652
   14.50     6.00   3.000000    14.216384
   15.50     6.00   3.000000    14.085645
   16.50     6.00   3.000000    13.827010
   17.50     6.00   3.000000    13.949222
   18.50     6.00   3.000000    13.224477
   19.50     6.00   3.000000    11.831828
   20.50     6.00   3.000000    10.899607
   21.50     6.00   3.000000    10.098122
    0.50     8.00   2.000000    13.172371
    1.50     8.00   2.000000    13.552294
    2.50     8.00   2.000000    14.377439
    3.50     8.00   2.000000    14.913656
    4.50     8.00   2.000000    15.764402
    5.50     8.00   2.000000    15.142228
    6.50     8.00   2.000000    14.892814
    7.50     8.00   2.000000    14.822707
    8.50     8.00   2.000000    15.004603
    9.50     8.00   2.000000    14.680598
   10.50     8.00   2.000000    14.835969
   11.50     8.00   2.000000    14.144382
   12.50     8.00   2.000000    13.356161
   13.50     8.00   2.000000    13.552294
   14.50     8.00   2.000000    14.417228
   15.50     8.00   2.000000    14.612388
   16.50     8.00   2.000000    14.129225
   17.50     8.00   2.000000    13.702904
   18.50     8.00   2.000000    12.568050
   19.50     8.00   2.000000    12.981000
   20.50     8.00   2.000000    12.245834
   21.50     8.00   2.000000    11.408349
   22.50     8.00   2.000000    10.794447
   23.50     8.00   2.000000    10.485601
    0.50     3.00   6.000000    14.503438
    1.50     3.00   6.000000    16.204460
    2.50     3.00   6.000000    16.224354
    3.50     3.00   6.000000    13.116955
    4.50     3.00   6.000000    14.110664
    5.50     3.00   6.000000    14.234857
    6.50     3.00   6.000000    14.692441
    7.50     3.00   6.000000    15.164948
    8.50     3.00   6.000000    14.706889
    9.50     3.00   6.000000    14.543230
   10.50     3.00   6.000000    12.886972
   11.50     3.00   6.000000    12.321990
   12.50     3.00   6.000000    13.732509
   13.50     3.00   6.000000    14.548202
   14.50     3.00   6.000000    12.568653
   15.50     3.00   6.000000    12.091173
   16.50     3.00   6.000000    13.115765
   17.50     3.00   6.000000    14.284594
   18.50     3.00   6.000000    14.269674
   19.50     3.00   6.000000    13.116955
   20.50     3.00   6.000000    13.289846
